ptal_score,imd_score,log_pop_density,shap_ptal_score,shap_imd_score,shap_log_pop_density,LSOA11CD,actual,predicted,residual
69.823,6.208,9.33825853989075,7.377415042278294,-1.1713540784786878,-0.2308919079793394,E01000001,0.0,0.9948194001669743,0.9948194001669743
83.782,5.143,8.709992992497819,9.205570265787921,-1.2492918898698506,0.44258589079859223,E01000002,0.0,0.9995388544456463,0.9995388544456463
41.742,19.402,10.21780181878858,3.699757127572811,-0.2058033897509836,-1.17373028875651,E01000003,0.0,0.8323946779850403,0.8323946779850403
85.889,28.652,8.666078605456354,9.4815157529958,0.47112126317695807,0.48966051528197274,E01000005,0.0,0.9999402193557368,0.9999402193557368
22.456,19.837,9.44036419981107,1.1739457055077152,-0.17396963580248048,-0.34034545890419515,E01000006,0.0,0.48552952229870827,0.48552952229870827
33.302,31.576,9.584727524513486,2.594403586028198,0.6851026345457474,-0.4950976883528682,E01000007,1.0,0.8876421531773002,-0.11235784682269978
7.391,37.596,9.134829878287242,-0.7990579797256494,1.1256525167756075,-0.012823787272115864,E01000008,0.0,0.4004097901620431,0.4004097901620431
38.364,32.844,9.554341339303791,3.257353778836116,0.7778961977795452,-0.4625248038246564,E01000009,1.0,0.9455866748243686,-0.054413325175631355
32.286,32.437,9.510867097538023,2.4613420696526855,0.7481115130507155,-0.41592199905612215,E01000010,0.0,0.8885488149050701,0.8885488149050701
31.917,30.679,9.82825741252597,2.413015593724965,0.6194592384726268,-0.7561528641394004,E01000011,0.0,0.8261801280477793,0.8261801280477793
16.231,34.714,9.723361583674013,0.3586819855888509,0.914744749236329,-0.6437083536782539,E01000012,0.0,0.4780615176506593,0.4780615176506593
13.145,38.997,9.105513047480017,-0.04547927379582664,1.2281791588028559,0.018602788259721614,E01000013,1.0,0.6186386490733565,-0.38136135092664347
7.46,35.67,8.543426080585999,-0.7900213216253439,0.9847058268794764,0.6211395575548101,E01000014,0.0,0.5245540763129377,0.5245540763129377
8.295,33.632,9.061631525147158,-0.6806646620057051,0.8355628601046496,0.0656421829717079,E01000015,0.0,0.37824868797955763,0.37824868797955763
5.116,32.839,9.139048431081942,-1.097005764916881,0.7775302925617462,-0.01734592231834418,E01000016,0.0,0.2583906404907215,0.2583906404907215
8.203,39.004,9.2939643515411,-0.692713539472779,1.2286914261077742,-0.18341015031784352,E01000017,0.0,0.40975919165686087,0.40975919165686087
7.378,33.406,9.23149502604858,-0.8007605384981706,0.81902394426014,-0.1164453071899252,E01000018,0.0,0.30667494012951524,0.30667494012951524
4.587,33.62,9.110055840573832,-1.1662868103525563,0.8346846875819323,0.013733079414756289,E01000019,0.0,0.2620389800282591,0.2620389800282591
6.753,36.035,9.367779923246056,-0.882614325638619,1.011416907778795,-0.2625377563972792,E01000020,0.0,0.2991678003890135,0.2991678003890135
4.865,38.888,9.2057297594185,-1.129878245832485,1.22020242505484,-0.08882587918379078,E01000021,0.0,0.32826771633956225,0.32826771633956225
6.399,34.413,9.351240796469348,-0.9289763106749688,0.8927172551248358,-0.24480841449478571,E01000022,0.0,0.26921752257983034,0.26921752257983034
7.015,36.877,9.313339100809902,-0.8483012180693431,1.073035346456128,-0.20417917631898866,E01000023,0.0,0.3324835302676327,0.3324835302676327
