LSOA11CD,crime_count,hotspot_10,ptal_score,imd_score,pop_density,road_density,node_density
E01000093,560.0,0.0,4.77,46.922,6157.2,38220.0,1118.0
E01000094,389.0,0.0,3.089,28.182,4081.9,36917.0,1489.0
E01000095,1256.0,1.0,3.884,32.254,982.2,26901.0,1031.0
E01000096,531.0,0.0,3.52,40.926,2752.3,35041.0,947.0
E01000097,376.0,0.0,14.571,38.009,10786.8,50390.0,843.0
E01000098,616.0,0.0,11.056,39.405,11037.6,53204.0,696.0
E01000099,385.0,0.0,9.591,29.266,8964.2,35452.0,728.0
E01000100,335.0,0.0,4.915,31.83,9182.0,30005.0,418.0
E01000101,322.0,0.0,8.701,40.463,10366.1,42441.0,689.0
E01000102,303.0,0.0,5.783,42.631,7057.0,39540.0,527.0
E01000103,346.0,0.0,3.048,32.894,2528.2,22798.0,628.0
E01000104,453.0,0.0,8.248,34.672,8696.6,50175.0,1258.0
E01000105,995.0,1.0,8.917,44.149,10556.8,42091.0,939.0
E01000106,624.0,0.0,4.767,43.523,10059.3,42933.0,1317.0
E01000107,244.0,0.0,2.676,28.332,3332.1,23061.0,493.0
E01000108,529.0,0.0,9.59,28.166,7910.0,28337.0,557.0
E01000109,406.0,0.0,4.309,25.691,9700.6,27178.0,582.0
E01000110,229.0,0.0,5.205,17.741,8083.2,19123.0,228.0
E01000111,656.0,0.0,5.315,28.903,7265.7,38757.0,869.0
E01000112,553.0,0.0,9.714,24.743,7102.7,38853.0,973.0
E01000113,509.0,0.0,14.538,25.268,12950.0,26573.0,588.0
E01000114,644.0,0.0,5.975,23.288,9441.8,45068.0,1490.0
E01000115,190.0,0.0,7.01,6.227,5091.2,40756.0,1061.0
E01000116,258.0,0.0,5.309,7.79,7116.6,60358.0,1316.0
E01000117,394.0,0.0,5.748,9.642,5241.5,38355.0,1019.0
E01000118,238.0,0.0,5.744,9.812,7187.0,47947.0,922.0
E01000119,198.0,0.0,8.405,11.589,4511.8,43037.0,1068.0
E01000120,142.0,0.0,7.207,5.902,6099.6,45399.0,313.0
E01000121,202.0,0.0,3.314,36.203,3924.0,43833.0,987.0
E01000122,146.0,0.0,3.912,10.152,6404.1,52513.0,832.0
E01000123,329.0,0.0,5.588,11.048,3341.6,41764.0,1107.0
E01000124,724.0,0.0,12.91,23.589,7301.5,51296.0,1753.0
E01000125,397.0,0.0,12.382,26.704,8571.3,43383.0,1042.0
E01000126,421.0,0.0,4.623,33.625,14080.5,54045.0,1659.0
E01000127,298.0,0.0,14.666,27.543,7761.7,37074.0,616.0
E01000128,320.0,0.0,14.621,27.055,8302.3,33910.0,724.0
E01000129,806.0,1.0,20.556,31.0,9336.4,52213.0,923.0
E01000130,298.0,0.0,9.849,30.863,11325.9,39709.0,1026.0
E01000131,329.0,0.0,8.717,20.904,6013.1,28954.0,1103.0
E01000132,229.0,0.0,10.033,25.53,10534.2,39367.0,398.0
E01000133,291.0,0.0,11.542,30.774,10572.0,47508.0,947.0
E01000134,231.0,0.0,11.042,24.669,11442.9,47020.0,586.0
E01000135,268.0,0.0,14.616,12.523,5140.6,28906.0,620.0
E01000136,270.0,0.0,11.632,8.96,2854.9,32971.0,1310.0
E01000137,317.0,0.0,11.49,28.786,13479.7,55408.0,1068.0
E01000138,330.0,0.0,10.272,27.86,6187.4,45948.0,1196.0
E01000139,244.0,0.0,10.187,12.388,3954.4,35357.0,1041.0
E01000140,351.0,0.0,14.511,16.817,13422.5,56741.0,1344.0
E01000141,1442.0,1.0,17.382,28.797,5029.7,36472.0,1068.0
E01000142,372.0,0.0,12.984,16.669,11208.0,33191.0,1301.0
E01000143,453.0,0.0,13.918,31.342,9575.9,22532.0,536.0
E01000144,541.0,0.0,24.466,18.338,8379.6,67768.0,1420.0
E01000145,316.0,0.0,12.03,14.626,7798.2,25866.0,381.0
E01000146,1269.0,1.0,30.034,18.538,9061.0,50155.0,1611.0
E01000147,219.0,0.0,4.931,12.786,9456.3,36387.0,521.0
E01000148,219.0,0.0,11.27,27.671,9456.3,41880.0,1201.0
E01000150,929.0,1.0,5.1,15.583,4852.6,32209.0,828.0
E01000151,619.0,0.0,4.14,38.897,12102.7,38675.0,1358.0
E01000152,397.0,0.0,3.95,32.418,14564.6,59782.0,1295.0
E01000153,308.0,0.0,5.494,41.649,11690.9,65143.0,1868.0
E01000154,398.0,0.0,9.276,32.667,14216.8,54384.0,1718.0
E01000155,219.0,0.0,12.02,20.797,9456.3,46218.0,1647.0
E01000156,265.0,0.0,8.165,8.319,11255.6,42186.0,840.0
E01000157,149.0,0.0,4.751,12.655,12565.5,34252.0,526.0
E01000158,290.0,0.0,6.748,19.721,5414.2,35156.0,785.0
E01000159,315.0,0.0,4.514,16.257,3620.5,38634.0,1041.0
E01000160,641.0,0.0,7.358,12.121,6462.8,53835.0,2110.0
E01000161,346.0,0.0,9.431,14.513,8387.6,43940.0,1596.0
E01000162,523.0,0.0,10.215,18.504,9045.5,39505.0,2243.0
E01000163,413.0,0.0,3.796,28.541,8834.9,66071.0,2625.0
E01000164,1037.0,1.0,7.307,25.331,3129.2,43229.0,1836.0
E01000165,237.0,0.0,8.897,13.258,9784.0,60670.0,1577.0
E01000166,217.0,0.0,5.245,14.861,4381.9,30824.0,1181.0
E01000167,291.0,0.0,1.794,28.35,2308.1,25119.0,855.0
E01000168,170.0,0.0,6.793,6.975,4829.6,28816.0,723.0
E01000169,182.0,0.0,6.723,13.226,6838.6,29312.0,758.0
E01000170,436.0,0.0,8.015,20.384,6428.3,36397.0,1251.0
E01000171,848.0,1.0,11.328,24.261,6873.9,35450.0,1432.0
E01000172,169.0,0.0,3.482,8.421,3107.8,40414.0,2057.0
E01000173,202.0,0.0,3.155,9.709,4621.3,45899.0,1917.0
E01000174,525.0,0.0,9.698,16.271,9336.5,46337.0,1460.0
E01000175,185.0,0.0,5.88,7.614,4055.5,38074.0,1183.0
E01000176,319.0,0.0,3.719,30.549,7834.4,38681.0,1288.0
E01000177,218.0,0.0,5.029,8.263,9840.2,47988.0,1392.0
E01000178,270.0,0.0,4.034,8.055,4005.3,25579.0,500.0
E01000179,216.0,0.0,3.104,8.467,12475.6,54172.0,1864.0
E01000180,186.0,0.0,8.578,14.555,9466.9,47077.0,1494.0
E01000181,430.0,0.0,14.153,8.204,11787.7,40107.0,756.0
E01000182,295.0,0.0,14.505,8.01,7385.9,33421.0,1208.0
E01000183,214.0,0.0,2.927,10.613,6580.2,37749.0,1047.0
E01000184,354.0,0.0,1.938,31.921,2730.3,33973.0,1243.0
E01000185,240.0,0.0,2.906,25.824,11925.6,52474.0,1176.0
E01000186,139.0,0.0,7.951,5.195,6947.8,47517.0,908.0
E01000187,188.0,0.0,4.098,13.015,8052.9,38041.0,886.0
