LSOA11CD,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20
E01000006,16,7,6,5,6,7,8,13,5,13,11,6,10,16,10,6,5,7,7,5,2,7,10,9,16,17,12,5,8,9,7,8,10,12,10,5,316,0,0,0,0
E01000007,48,43,40,39,40,40,42,39,37,61,51,49,40,30,37,44,48,54,57,41,42,37,44,33,30,40,68,38,33,47,37,38,33,46,42,21,1509,1,1,1,1
E01000008,13,11,11,12,16,16,25,19,21,20,17,11,16,9,19,18,25,21,32,22,22,14,13,13,22,20,13,23,24,15,14,17,6,19,15,22,626,0,0,0,1
E01000009,25,23,26,22,18,21,23,29,22,25,29,29,27,18,30,23,21,26,30,23,17,37,25,21,21,18,20,20,20,29,26,30,25,27,27,31,884,0,1,1,1
E01000011,10,9,7,9,6,11,12,6,9,10,6,12,15,8,9,12,6,8,11,7,11,10,3,11,13,10,13,6,3,7,9,4,12,8,8,10,321,0,0,0,0
E01000012,13,15,16,13,14,30,11,7,16,15,14,13,17,19,9,12,8,14,7,11,10,14,14,7,5,16,5,18,14,14,9,9,10,17,27,16,479,0,0,0,0
E01000013,26,24,21,24,13,29,26,22,24,23,25,19,15,17,17,21,25,21,28,32,21,20,21,24,23,27,33,20,21,24,22,22,17,28,10,15,800,0,1,1,1
E01000014,9,6,8,14,13,15,7,10,11,11,10,16,9,10,15,6,11,2,7,8,11,9,6,4,10,4,10,6,7,8,12,13,8,13,16,13,348,0,0,0,0
E01000015,8,12,10,7,9,11,11,17,17,9,9,4,11,13,4,8,10,15,23,17,16,7,16,11,14,13,9,6,6,13,14,16,20,13,13,11,423,0,0,0,0
E01000016,7,8,7,7,10,7,10,8,8,8,10,3,3,7,9,15,7,5,9,12,7,5,11,10,6,9,9,7,7,8,11,7,11,6,6,3,283,0,0,0,0
E01000017,2,9,7,4,6,8,4,3,8,8,8,4,4,11,7,3,7,14,10,13,13,10,14,6,6,13,9,12,3,4,5,7,7,5,7,11,272,0,0,0,0
E01000018,6,10,2,7,6,7,18,20,9,10,9,7,8,11,7,10,9,10,6,5,8,10,16,11,17,11,10,13,15,10,10,14,11,5,8,1,347,0,0,0,0
E01000019,4,9,4,5,7,5,7,8,11,6,5,5,10,8,4,7,2,14,6,1,10,7,11,6,9,13,7,4,5,13,4,5,5,2,6,4,239,0,0,0,0
E01000020,8,6,11,9,9,13,8,7,7,11,7,3,7,6,5,8,2,10,9,3,13,5,9,7,14,3,12,4,7,10,13,5,13,14,11,12,301,0,0,0,0
