LSOA11CD,imd_score,imd_decile
E01000289,38.33,2
E01000290,19.937,5
E01000291,32.936,3
E01000292,11.315,7
E01000293,7.608,9
E01000294,12.242,7
E01000295,13.306,7
E01000296,12.11,7
E01000297,9.009,8
E01000298,11.827,7
E01000299,17.004,6
E01000300,12.253,7
E01000301,7.059,9
E01000302,15.595,6
E01000303,6.805,9
E01000304,13.531,7
E01000305,27.857,3
E01000306,14.045,7
E01000307,23.325,4
E01000308,31.832,3
E01000309,13.899,7
E01000310,19.223,5
E01000311,11.072,8
E01000312,24.927,4
E01000313,19.932,5
E01000314,10.677,8
E01000315,32.727,3
E01000316,19.874,5
E01000317,10.85,8
E01000318,14.711,6
E01000319,9.915,8
E01000320,8.719,8
E01000321,14.405,6
E01000322,14.866,6
E01000323,18.834,5
E01000324,13.755,7
E01033572,22.191,4
E01033573,17.932,5
E01000325,5.875,10
E01000326,11.973,7
E01000327,7.68,9
E01000328,11.404,7
E01000329,15.875,6
E01000330,17.867,5
E01000331,28.281,3
E01000332,16.091,6
E01000333,25.871,4
E01000334,12.987,7
E01000335,31.73,3
E01000336,31.362,3
E01000337,19.57,5
E01000338,18.89,5
E01000339,16.3,6
E01000340,12.831,7
E01000341,8.884,8
E01000342,8.918,8
E01000343,8.347,9
E01000344,6.105,9
E01000345,6.252,9
E01000346,9.662,8
E01000347,11.175,8
E01000348,4.979,10
E01000349,7.459,9
E01000350,7.89,9
E01000351,7.587,9
E01000352,14.763,6
E01000353,5.202,10
E01000354,21.316,5
E01000355,8.189,9
E01000356,7.94,9
E01000357,4.079,10
E01000358,6.15,9
E01000359,6.167,9
E01000360,18.65,5
E01000361,11.27,8
E01000362,12.63,7
E01000363,9.306,8
E01000364,12.692,7
E01000365,14.39,6
E01000366,9.865,8
E01000367,30.905,3
E01000368,33.932,2
E01000369,14.638,6
E01000370,11.364,7
E01000371,8.174,9
E01000372,29.915,3
E01000373,29.344,3
E01000374,42.38,2
E01000375,18.295,5
E01000376,16.232,6
E01000377,12.286,7
E01000378,21.241,5
E01000379,18.601,5
E01000380,23.317,4
E01000381,27.812,3
E01000382,6.444,9
E01000383,21.082,5
E01000384,12.076,7
E01000385,32.32,3
E01000386,41.618,2
E01000387,12.348,7
E01000388,10.762,8
E01000389,11.233,8
E01000390,10.167,8
E01000391,13.901,7
E01000392,22.909,4
E01000393,9.166,8
E01000394,9.317,8
E01000395,5.03,10
E01000396,8.072,9
E01000398,20.001,5
E01000399,9.101,8
E01000400,14.705,6
E01000401,21.111,5
E01000402,23.537,4
E01000403,29.529,3
E01000404,30.082,3
E01000405,28.889,3
