LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density
E01000042,401.0,0.0,0.0,0.0,0.0,41.573,2,8.48745,8140.1,52799.0,1370.0
E01000043,285.0,0.0,0.0,0.0,0.0,28.075,3,7.26782,5769.5,34234.0,844.0
E01000044,352.0,0.0,0.0,0.0,0.0,28.389,3,8.7118,11641.3,37384.0,1037.0
E01000045,818.0,0.0,1.0,1.0,1.0,35.688,2,7.08704,5776.1,62324.0,2215.0
E01000046,297.0,0.0,0.0,0.0,0.0,29.763,3,6.09177,12578.8,36744.0,808.0
E01000048,,,,,,44.704,1,8.13742,,47636.0,1764.0
E01000049,670.0,0.0,0.0,1.0,1.0,41.172,2,7.73561,9293.5,62444.0,1905.0
E01000050,397.0,0.0,0.0,0.0,0.0,34.701,2,23.446,13355.1,47559.0,1664.0
E01000051,207.0,0.0,0.0,0.0,0.0,36.941,2,13.4392,16621.6,48627.0,1139.0
E01000052,407.0,0.0,0.0,0.0,0.0,33.284,2,7.91239,11857.8,55143.0,2238.0
E01000053,378.0,0.0,0.0,0.0,0.0,40.044,2,5.84284,8938.6,74729.0,2565.0
E01000054,317.0,0.0,0.0,0.0,0.0,29.788,3,6.31438,10928.7,41336.0,643.0
E01000055,306.0,0.0,0.0,0.0,0.0,30.898,3,7.7862,11678.1,58248.0,1113.0
E01000056,674.0,0.0,0.0,1.0,1.0,35.903,2,1.62771,6986.9,67505.0,1618.0
E01000057,442.0,0.0,0.0,0.0,0.0,32.887,3,9.98087,10494.2,51542.0,908.0
E01000058,414.0,0.0,0.0,0.0,0.0,31.763,3,7.25869,11717.9,26376.0,472.0
E01000059,280.0,0.0,0.0,0.0,0.0,32.331,3,5.43468,8201.4,37372.0,778.0
E01000060,855.0,0.0,1.0,1.0,1.0,36.154,2,4.72838,3964.4,33837.0,1177.0
E01000061,709.0,0.0,0.0,1.0,1.0,46.283,1,7.36381,3153.2,26648.0,1170.0
E01000062,466.0,0.0,0.0,0.0,0.0,26.669,3,4.4875,10022.6,45617.0,996.0
E01000063,323.0,0.0,0.0,0.0,0.0,33.371,2,7.42822,9812.4,50060.0,1457.0
E01000064,584.0,0.0,0.0,0.0,1.0,35.283,2,4.11487,10996.2,44939.0,1060.0
E01000065,376.0,0.0,0.0,0.0,0.0,39.89,2,5.82993,8484.6,43357.0,782.0
E01000066,370.0,0.0,0.0,0.0,0.0,25.763,4,3.48363,10204.2,29758.0,659.0
E01000067,366.0,0.0,0.0,0.0,0.0,20.973,5,5.81071,11620.8,45293.0,759.0
E01000068,316.0,0.0,0.0,0.0,0.0,25.603,4,16.9529,5284.1,38180.0,995.0
E01000069,227.0,0.0,0.0,0.0,0.0,16.375,6,8.91029,10453.9,34761.0,522.0
E01000070,872.0,0.0,1.0,1.0,1.0,21.038,5,9.08794,5291.0,38308.0,861.0
E01000071,483.0,0.0,0.0,0.0,0.0,18.848,5,8.50495,9630.5,36765.0,1223.0
E01000072,662.0,0.0,0.0,1.0,1.0,41.016,2,3.4708,4131.1,25415.0,620.0
E01000073,324.0,0.0,0.0,0.0,0.0,38.757,2,3.68102,6493.3,31644.0,632.0
E01000074,313.0,0.0,0.0,0.0,0.0,35.044,2,5.22423,10712.5,43238.0,771.0
E01000075,550.0,0.0,0.0,0.0,0.0,36.999,2,9.06998,4020.1,31414.0,697.0
E01000076,320.0,0.0,0.0,0.0,0.0,36.246,2,5.92267,11331.9,39786.0,500.0
E01000077,392.0,0.0,0.0,0.0,0.0,41.032,2,7.48654,9890.7,48381.0,1178.0
E01000078,390.0,0.0,0.0,0.0,0.0,35.033,2,6.90947,10802.0,41854.0,1333.0
E01000079,302.0,0.0,0.0,0.0,0.0,34.522,2,5.87476,5542.6,32527.0,881.0
E01000080,371.0,0.0,0.0,0.0,0.0,33.185,3,5.88791,7682.7,33312.0,446.0
E01000081,257.0,0.0,0.0,0.0,0.0,30.608,3,4.9585,10635.1,33569.0,542.0
E01000082,488.0,0.0,0.0,0.0,0.0,27.895,3,4.94285,11904.2,33239.0,838.0
E01000083,306.0,0.0,0.0,0.0,0.0,34.377,2,7.38619,10667.0,48894.0,920.0
E01000084,515.0,0.0,0.0,0.0,0.0,39.815,2,13.9159,9586.7,47998.0,846.0
E01000085,424.0,0.0,0.0,0.0,0.0,35.154,2,13.5581,11328.3,37924.0,761.0
E01000086,272.0,0.0,0.0,0.0,0.0,38.156,2,11.3246,10342.6,49463.0,424.0
E01000087,627.0,0.0,0.0,0.0,1.0,34.357,2,7.1013,4390.8,31863.0,847.0
E01000088,446.0,0.0,0.0,0.0,0.0,28.849,3,4.09005,8723.5,41453.0,936.0
E01000089,382.0,0.0,0.0,0.0,0.0,28.968,3,3.14651,12536.1,35873.0,609.0
E01000090,484.0,0.0,0.0,0.0,0.0,28.317,3,3.1872,874.1,25069.0,964.0
E01000091,492.0,0.0,0.0,0.0,0.0,42.183,2,4.69844,8493.1,47306.0,1658.0
E01000092,,,,,,33.768,2,2.50159,,25789.0,1149.0
E01000093,560.0,0.0,0.0,0.0,0.0,46.922,1,4.76951,6157.2,38220.0,1118.0
E01000094,389.0,0.0,0.0,0.0,0.0,28.182,3,3.08911,4081.9,36917.0,1489.0
E01000095,1256.0,1.0,1.0,1.0,1.0,32.254,3,3.88439,982.2,26901.0,1031.0
E01000096,531.0,0.0,0.0,0.0,0.0,40.926,2,3.51993,2752.3,35041.0,947.0
E01000097,376.0,0.0,0.0,0.0,0.0,38.009,2,14.5706,10786.8,50390.0,843.0
E01000098,616.0,0.0,0.0,0.0,1.0,39.405,2,11.0563,11037.6,53204.0,696.0
E01000099,385.0,0.0,0.0,0.0,0.0,29.266,3,9.59104,8964.2,35452.0,728.0
E01000100,335.0,0.0,0.0,0.0,0.0,31.83,3,4.91511,9182.0,30005.0,418.0
E01000101,322.0,0.0,0.0,0.0,0.0,40.463,2,8.70126,10366.1,42441.0,689.0
E01000102,303.0,0.0,0.0,0.0,0.0,42.631,2,5.78336,7057.0,39540.0,527.0
E01000103,346.0,0.0,0.0,0.0,0.0,32.894,3,3.04832,2528.2,22798.0,628.0
E01000104,453.0,0.0,0.0,0.0,0.0,34.672,2,8.24809,8696.6,50175.0,1258.0
E01000105,995.0,0.0,1.0,1.0,1.0,44.149,1,8.9166,10556.8,42091.0,939.0
E01000106,624.0,0.0,0.0,0.0,1.0,43.523,2,4.76699,10059.3,42933.0,1317.0
E01000107,244.0,0.0,0.0,0.0,0.0,28.332,3,2.67607,3332.1,23061.0,493.0
E01000108,529.0,0.0,0.0,0.0,0.0,28.166,3,9.5896,7910.0,28337.0,557.0
E01000109,,,,,,25.691,4,4.30923,,27178.0,582.0
E01000110,229.0,0.0,0.0,0.0,0.0,17.741,5,5.20468,8083.2,19123.0,228.0
E01000111,656.0,0.0,0.0,1.0,1.0,28.903,3,5.31493,7265.7,38757.0,869.0
E01000112,553.0,0.0,0.0,0.0,0.0,24.743,4,9.71421,7102.7,38853.0,973.0
E01000113,509.0,0.0,0.0,0.0,0.0,25.268,4,14.5377,12950.0,26573.0,588.0
E01000114,644.0,0.0,0.0,0.0,1.0,23.288,4,5.97464,9441.8,45068.0,1490.0
E01000115,190.0,0.0,0.0,0.0,0.0,6.227,9,7.01025,5091.2,40756.0,1061.0
E01000116,258.0,0.0,0.0,0.0,0.0,7.79,9,5.3088,7116.6,60358.0,1316.0
E01000117,394.0,0.0,0.0,0.0,0.0,9.642,8,5.74797,5241.5,38355.0,1019.0
E01000118,238.0,0.0,0.0,0.0,0.0,9.812,8,5.74361,7187.0,47947.0,922.0
E01000119,198.0,0.0,0.0,0.0,0.0,11.589,7,8.40527,4511.8,43037.0,1068.0
E01000120,142.0,0.0,0.0,0.0,0.0,5.902,10,7.20748,6099.6,45399.0,313.0
