LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density,MSOA11CD,RGN11CD
E01000069,227.0,0.0,0.0,0.0,0.0,16.375,6,8.91,10453.9,34761.0,522.0,E02000012,E12000007
E01000070,872.0,0.0,1.0,1.0,1.0,21.038,5,9.088,5291.0,38308.0,861.0,E02000012,E12000007
E01000071,483.0,0.0,0.0,0.0,0.0,18.848,5,8.505,9630.5,36765.0,1223.0,E02000012,E12000007
E01000072,662.0,0.0,0.0,1.0,1.0,41.016,2,3.471,4131.1,25415.0,620.0,E02000018,E12000007
E01000073,324.0,0.0,0.0,0.0,0.0,38.757,2,3.681,6493.3,31644.0,632.0,E02000013,E12000007
E01000074,313.0,0.0,0.0,0.0,0.0,35.044,2,5.224,10712.5,43238.0,771.0,E02000013,E12000007
E01000075,550.0,0.0,0.0,0.0,0.0,36.999,2,9.07,4020.1,31414.0,697.0,E02000013,E12000007
E01000076,320.0,0.0,0.0,0.0,0.0,36.246,2,5.923,11331.9,39786.0,500.0,E02000013,E12000007
E01000077,392.0,0.0,0.0,0.0,0.0,41.032,2,7.487,9890.7,48381.0,1178.0,E02000009,E12000007
E01000078,390.0,0.0,0.0,0.0,0.0,35.033,2,6.909,10802.0,41854.0,1333.0,E02000008,E12000007
E01000079,302.0,0.0,0.0,0.0,0.0,34.522,2,5.875,5542.6,32527.0,881.0,E02000010,E12000007
E01000080,371.0,0.0,0.0,0.0,0.0,33.185,3,5.888,7682.7,33312.0,446.0,E02000008,E12000007
E01000081,257.0,0.0,0.0,0.0,0.0,30.608,3,4.958,10635.1,33569.0,542.0,E02000008,E12000007
E01000082,488.0,0.0,0.0,0.0,0.0,27.895,3,4.943,11904.2,33239.0,838.0,E02000008,E12000007
E01000083,306.0,0.0,0.0,0.0,0.0,34.377,2,7.386,10667.0,48894.0,920.0,E02000008,E12000007
E01000084,515.0,0.0,0.0,0.0,0.0,39.815,2,13.916,9586.7,47998.0,846.0,E02000014,E12000007
E01000085,424.0,0.0,0.0,0.0,0.0,35.154,2,13.558,11328.3,37924.0,761.0,E02000014,E12000007
E01000086,272.0,0.0,0.0,0.0,0.0,38.156,2,11.325,10342.6,49463.0,424.0,E02000014,E12000007
E01000087,627.0,0.0,0.0,0.0,1.0,34.357,2,7.101,4390.8,31863.0,847.0,E02000021,E12000007
E01000088,446.0,0.0,0.0,0.0,0.0,28.849,3,4.09,8723.5,41453.0,936.0,E02000021,E12000007
E01000089,382.0,0.0,0.0,0.0,0.0,28.968,3,3.147,12536.1,35873.0,609.0,E02000021,E12000007
E01000090,484.0,0.0,0.0,0.0,0.0,28.317,3,3.187,874.1,25069.0,964.0,E02000021,E12000007
E01000091,492.0,0.0,0.0,0.0,0.0,42.183,2,4.698,8493.1,47306.0,1658.0,E02000023,E12000007
E01000092,370.0,0.0,0.0,0.0,0.0,33.768,2,2.502,10497.5,25789.0,1149.0,E02000020,E12000007
E01000093,560.0,0.0,0.0,0.0,0.0,46.922,1,4.77,6157.2,38220.0,1118.0,E02000023,E12000007
E01000094,389.0,0.0,0.0,0.0,0.0,28.182,3,3.089,4081.9,36917.0,1489.0,E02000023,E12000007
E01000095,1256.0,1.0,1.0,1.0,1.0,32.254,3,3.884,982.2,26901.0,1031.0,E02000019,E12000007
E01000096,531.0,0.0,0.0,0.0,0.0,40.926,2,3.52,2752.3,35041.0,947.0,E02000023,E12000007
E01000097,376.0,0.0,0.0,0.0,0.0,38.009,2,14.571,10786.8,50390.0,843.0,E02006799,E12000007
E01000098,616.0,0.0,0.0,0.0,1.0,39.405,2,11.056,11037.6,53204.0,696.0,E02006799,E12000007
E01000099,385.0,0.0,0.0,0.0,0.0,29.266,3,9.591,8964.2,35452.0,728.0,E02006799,E12000007
E01000100,335.0,0.0,0.0,0.0,0.0,31.83,3,4.915,9182.0,30005.0,418.0,E02000005,E12000007
E01000101,322.0,0.0,0.0,0.0,0.0,40.463,2,8.701,10366.1,42441.0,689.0,E02000005,E12000007
E01000102,303.0,0.0,0.0,0.0,0.0,42.631,2,5.783,7057.0,39540.0,527.0,E02000008,E12000007
E01000103,346.0,0.0,0.0,0.0,0.0,32.894,3,3.048,2528.2,22798.0,628.0,E02000015,E12000007
E01000104,453.0,0.0,0.0,0.0,0.0,34.672,2,8.248,8696.6,50175.0,1258.0,E02000015,E12000007
E01000105,995.0,0.0,1.0,1.0,1.0,44.149,1,8.917,10556.8,42091.0,939.0,E02000015,E12000007
E01000106,624.0,0.0,0.0,0.0,1.0,43.523,2,4.767,10059.3,42933.0,1317.0,E02000015,E12000007
E01000107,244.0,0.0,0.0,0.0,0.0,28.332,3,2.676,3332.1,23061.0,493.0,E02000011,E12000007
E01000108,529.0,0.0,0.0,0.0,0.0,28.166,3,9.59,7910.0,28337.0,557.0,E02000011,E12000007
E01000109,406.0,0.0,0.0,0.0,0.0,25.691,4,4.309,9700.6,27178.0,582.0,E02000005,E12000007
E01000110,229.0,0.0,0.0,0.0,0.0,17.741,5,5.205,8083.2,19123.0,228.0,E02000003,E12000007
E01000111,656.0,0.0,0.0,1.0,1.0,28.903,3,5.315,7265.7,38757.0,869.0,E02000003,E12000007
E01000112,553.0,0.0,0.0,0.0,0.0,24.743,4,9.714,7102.7,38853.0,973.0,E02000003,E12000007
E01000113,509.0,0.0,0.0,0.0,0.0,25.268,4,14.538,12950.0,26573.0,588.0,E02000003,E12000007
E01000114,644.0,0.0,0.0,0.0,1.0,23.288,4,5.975,9441.8,45068.0,1490.0,E02000005,E12000007
E01000115,190.0,0.0,0.0,0.0,0.0,6.227,9,7.01,5091.2,40756.0,1061.0,E02000032,E12000007
E01000116,258.0,0.0,0.0,0.0,0.0,7.79,9,5.309,7116.6,60358.0,1316.0,E02000032,E12000007
E01000117,394.0,0.0,0.0,0.0,0.0,9.642,8,5.748,5241.5,38355.0,1019.0,E02000033,E12000007
E01000118,238.0,0.0,0.0,0.0,0.0,9.812,8,5.744,7187.0,47947.0,922.0,E02000033,E12000007
E01000119,198.0,0.0,0.0,0.0,0.0,11.589,7,8.405,4511.8,43037.0,1068.0,E02000032,E12000007
E01000120,142.0,0.0,0.0,0.0,0.0,5.902,10,7.207,6099.6,45399.0,313.0,E02000032,E12000007
E01000121,202.0,0.0,0.0,0.0,0.0,36.203,2,3.314,3924.0,43833.0,987.0,E02000033,E12000007
E01000122,146.0,0.0,0.0,0.0,0.0,10.152,8,3.912,6404.1,52513.0,832.0,E02000032,E12000007
