LSOA11CD,ptal_score
E01000324,6.64776
E01000325,8.32679
E01000326,3.41403
E01000327,13.2003
E01000328,2.85065
E01000329,8.2841
E01000330,17.4417
E01000331,3.10323
E01000332,7.26014
E01000333,4.65451
E01000334,3.74277
E01000335,4.47422
E01000336,8.93537
E01000337,4.86354
E01000338,7.48566
E01000339,4.67548
E01000340,2.61588
E01000341,3.27627
E01000342,2.81472
E01000343,4.57313
E01000344,4.49253
E01000345,4.67157
E01000346,3.83546
E01000347,4.94347
E01000348,3.23538
E01000349,4.25791
E01000350,3.73397
E01000351,3.14063
E01000352,4.45
E01000353,3.8967
E01000354,6.97214
E01000355,7.68435
E01000356,12.1571
E01000357,6.53809
E01000358,8.54207
E01000359,4.70258
E01000360,16.1787
E01000361,5.08739
E01000362,15.0623
E01000363,5.38097
E01000364,3.823
E01000365,10.9912
E01000366,15.4365
E01000367,3.20996
E01000368,2.41844
E01000369,4.21462
E01000370,10.7576
E01000371,4.97689
E01000372,3.50441
E01000373,3.11407
E01000374,2.26362
E01000375,6.52067
E01000376,2.19275
E01000377,1.62648
E01000378,4.31319
E01000379,7.05411
E01000380,5.18912
E01000381,1.43135
E01000382,3.01202
E01000383,0.677378
E01000384,7.69227
E01000385,3.61829
E01000386,6.65619
E01000387,7.4484
E01000388,4.35928
E01000389,8.03609
E01000390,2.89856
E01000391,1.68107
E01000392,11.2378
E01000393,8.81402
E01000394,15.4882
E01000395,4.94627
E01000396,4.80394
E01000398,3.35725
E01000399,8.83361
E01000400,10.4133
E01000401,11.8369
E01000402,3.55182
E01000403,10.5372
E01000404,9.788
E01000405,3.73665
E01000406,2.82144
E01000407,5.89327
E01000408,2.95511
E01000409,6.05412
E01000410,3.39149
E01000411,3.93518
E01000412,6.77975
E01000413,3.13988
E01000414,15.578
E01000415,10.0208
E01000416,14.2417
E01000417,6.47468
E01000418,8.33427
E01000419,3.82175
E01000420,4.24964
E01000421,3.69421
E01000422,9.60783
E01000423,5.6252
E01000424,12.0637
E01000425,2.02419
E01000426,4.01798
E01000427,3.50594
E01000428,8.34943
E01000429,3.16287
E01000430,1.11926
E01000431,3.88447
E01000432,6.72977
E01000433,9.43322
E01000434,3.18236
E01000435,6.34223
E01000436,5.0137
E01000437,2.76876
E01000438,3.66003
E01000439,4.73103
E01000440,2.87468
E01000441,3.73763
E01000442,4.71723
E01000443,9.31065
E01000444,1.73546
E01000445,5.52986
E01000446,5.51408
E01000447,7.28666
E01000448,6.52184
E01000449,7.69075
E01000450,3.65512
E01000451,4.68981
E01000452,3.56929
E01000453,3.33074
E01000454,5.20112
E01000455,6.20344
E01000456,3.1968
E01000457,14.9432
E01000458,6.24632
E01000459,8.92433
E01000460,2.84096
E01000461,7.33343
E01000462,13.3928
E01000463,4.46658
E01000464,7.31605
E01000465,5.52304
E01000466,1.67415
E01000467,8.04513
E01000468,3.15332
E01000469,6.27424
E01000470,6.99926
E01000471,2.37083
E01000472,10.2867
E01000473,13.5286
E01000474,6.01557
E01000475,11.3146
E01000476,4.26955
E01000477,4.59434
E01000478,10.8191
E01000479,8.773
E01000480,8.53172
E01000481,10.7994
E01000482,13.8398
E01000483,4.48723
E01000484,4.3358
E01000485,6.62453
E01000486,1.89211
E01000487,9.2071
E01000488,11.5861
E01000489,9.81995
E01000490,18.8376
E01000491,8.22267
E01000492,10.2217
E01000493,12.1156
E01000494,12.7655
E01000495,16.5721
E01000497,9.96727
E01000498,2.96036
E01000499,8.17823
E01000501,7.46656
E01000502,5.22546
E01000503,4.5231
E01000504,8.5704
E01000505,6.07824
E01000506,12.7783
E01000507,8.57724
E01000508,9.03168
E01000509,7.72483
E01000510,13.5329
E01000511,14.7046
E01000512,11.997
E01000513,7.65281
E01000514,6.20177
E01000515,8.24797
E01000516,7.96554
E01000517,6.82001
E01000518,5.50147
E01000519,2.01306
E01000520,7.16304
E01000521,18.5584
E01000522,2.0365
E01000523,13.518
E01000524,22.598
E01000525,21.9764
E01000526,5.20336
E01000527,5.29119
E01000528,7.39937
E01000530,9.06453
E01000531,12.2556
E01000532,14.5751
E01000533,13.4581
E01000534,6.49968
E01000535,17.2412
E01000536,12.9501
E01000538,1.64155
E01000539,7.60809
E01000540,6.36183
E01000541,8.28375
E01000543,9.25994
E01000544,16.7987
E01000545,20.2839
E01000546,17.021
E01000547,17.4705
E01000548,25.8907
E01000549,19.1778
E01000550,27.0788
E01000551,21.5508
E01000552,22.5592
E01000553,16.9757
E01000554,6.02893
E01000555,6.41204
E01000556,24.2404
E01000557,20.271
E01000558,15.2121
E01000559,13.4688
E01000560,12.834
E01000561,20.7355
E01000562,3.15073
E01000563,4.22988
E01000564,8.36473
E01000565,5.34441
E01000566,3.73595
E01000567,4.89553
E01000568,14.9771
E01000569,6.57701
E01000570,8.26411
E01000571,9.18539
E01000572,4.8928
E01000573,9.52887
E01000574,7.54603
E01000575,9.64411
E01000576,9.45531
E01000577,7.48327
E01000578,15.6884
E01000579,20.7977
E01000580,13.5201
E01000581,14.8603
E01000582,17.8654
E01000583,21.4701
E01000584,18.746
E01000585,20.9996
E01000586,25.4762
E01000587,6.57772
E01000588,8.43137
E01000589,7.31725
E01000590,4.5137
E01000591,10.2145
E01000592,13.3227
E01000593,5.72728
E01000594,10.194
E01000595,7.63652
E01000596,6.14733
E01000599,17.0746
E01000600,8.41437
E01000601,8.08791
E01000602,8.18938
E01000603,7.44581
E01000604,8.91884
E01000605,10.7299
E01000606,7.53501
E01000607,7.60076
E01000608,8.98574
E01000609,7.65401
E01000610,11.5702
E01000611,15.7886
E01000612,15.8235
E01000613,6.7341
E01000615,8.52318
E01000616,16.0057
E01000617,9.45288
E01000618,5.30492
E01000619,1.01551
E01000620,8.14347
E01000621,10.1976
E01000622,2.96019
E01000623,4.83839
E01000624,1.83461
E01000625,8.24699
E01000626,7.31984
E01000627,10.8824
E01000628,8.78678
E01000629,4.47077
E01000630,12.6801
E01000631,9.70624
E01000632,12.2081
E01000633,21.4938
E01000634,14.0097
E01000635,22.6437
E01000636,16.7044
E01000637,13.9611
E01000638,10.6557
E01000639,14.91
E01000640,21.8738
E01000641,17.7922
E01000642,18.9243
E01000643,7.8774
E01000644,15.7692
E01000645,4.29695
E01000646,4.81849
E01000647,2.93262
E01000648,7.97442
E01000649,8.30551
E01000650,4.78328
E01000651,8.29657
E01000652,3.18018
E01000653,3.9032
E01000654,0.711652
E01000655,1.71283
E01000656,0.836094
E01000657,4.80241
E01000658,2.0065
E01000659,1.67138
E01000661,6.12614
E01000662,2.57166
E01000663,4.26798
E01000664,1.7047
E01000665,5.66403
E01000666,2.32615
E01000667,5.34512
E01000668,6.62823
E01000669,7.89737
E01000670,20.9143
E01000671,10.8991
E01000672,3.9783
E01000673,8.33057
E01000674,10.5695
E01000675,24.4005
E01000676,28.5572
E01000677,21.1558
E01000678,10.4015
E01000679,4.63573
E01000680,0.644017
E01000681,7.12198
E01000682,4.28869
E01000683,3.21424
E01000684,3.3141
E01000685,3.08348
E01000686,5.22803
E01000687,3.45597
E01000688,1.88459
E01000689,0.864227
E01000690,4.51981
E01000691,4.50777
E01000692,6.05187
E01000693,2.73488
E01000694,4.15811
E01000695,2.09427
E01000696,3.85493
E01000697,6.06957
E01000698,3.03878
E01000699,14.3404
E01000700,12.92
E01000701,13.9283
E01000702,19.5921
E01000703,15.8188
E01000704,12.0814
E01000705,8.66781
E01000706,13.9242
E01000707,8.49433
E01000708,11.3352
E01000709,16.3467
E01000710,7.75415
E01000711,10.7344
E01000712,9.9824
E01000713,6.10035
E01000714,19.0414
E01000715,9.40138
E01000716,5.9385
E01000717,10.1245
E01000718,5.76209
E01000719,6.42454
E01000720,0.28618
E01000721,2.03274
E01000722,10.9295
E01000723,3.18145
E01000724,2.02463
E01000725,8.85412
E01000726,3.59992
E01000727,9.46883
E01000728,1.09329
E01000729,4.38842
E01000730,11.5311
E01000731,4.1597
E01000732,3.8989
E01000733,7.03999
E01000734,2.62358
E01000735,4.89802
E01000736,3.92591
E01000737,3.58034
E01000738,4.34076
E01000739,6.43171
E01000740,15.3686
E01000741,19.8266
E01000742,15.8842
E01000743,13.1255
E01000744,8.68306
E01000745,12.8424
E01000746,21.8196
E01000747,0.957134
E01000748,0.405613
E01000749,0.476072
E01000750,1.21206
E01000751,2.06822
E01000752,2.24921
E01000753,2.42617
E01000754,11.5688
E01000755,9.75678
E01000756,4.76967
E01000757,3.73619
E01000758,14.8711
E01000759,1.10066
E01000760,4.87486
E01000761,2.3273
E01000762,4.37203
E01000763,3.75679
E01000764,3.74711
E01000765,2.41497
E01000766,7.15412
E01000767,9.53692
E01000768,7.31486
E01000769,3.35963
E01000770,6.30486
E01000771,9.24839
E01000772,4.6789
E01000773,3.76763
E01000774,7.38448
E01000775,4.91034
E01000777,6.53104
E01000778,3.67453
E01000779,3.49308
E01000780,5.5796
E01000781,7.38845
E01000782,5.60989
E01000783,6.55821
E01000784,4.52413
E01000785,3.93254
E01000786,2.56309
E01000787,3.99293
E01000788,11.0892
E01000789,5.12375
E01000790,21.7193
