Feature,Logistic Regression,Random Forest,XGBoost
ptal_score,1.8603768276512955,0.22714787805728798,0.22109753
imd_score,0.9739966045135947,0.13792309020313392,0.11494125
log_pop_density,0.8174402237835304,0.1923289995518999,0.17443347
ptal_imd_interact,0.4744853170197581,0.255079557360262,0.358773
road_node_ratio,0.5337155921558445,0.18752047482741627,0.13075475
