osm_id,code,fclass,name
"12218267","2505",department_store,John Lewis
"1186102854","2205",playground,
"1186107131","2012",community_centre,Wessex Centre
"1186108458","2421",shelter,
"1186108459","2421",shelter,
"1186433819","2252",pitch,
"1186433820","2252",pitch,
"1186433821","2252",pitch,
"1186433822","2252",pitch,
"1186562118","2206",dog_park,Dog pool
"1186769633","2252",pitch,
"1186769634","2205",playground,
"1186769635","2204",park,
"1186769636","2205",playground,
"1186769638","2204",park,
"1186777198","2204",park,
"1186809636","2111",clinic,The Appleby Centre
"1187551170","2724",memorial,The Royal Artillery Boer War Memorial
"1187589489","2302",fast_food,Big Red Pizza
"1187589494","2304",pub,The Birds Nest
"16057566","2731",castle,Spencer House
"1187609776","2205",playground,
"1187609778","2252",pitch,
"1187612687","2012",community_centre,
"1187700301","2401",hotel,art'otel London Hoxton
"1187903784","2302",fast_food,Sugo82
"1188119850","2301",restaurant,Kensington Palace
"1188133188","2252",pitch,
"1188133189","2252",pitch,
"1188133193","2252",pitch,
"1188133194","2252",pitch,
"1188133195","2252",pitch,
"1188133196","2252",pitch,
"1188172800","2721",attraction,Flags Of UK Overseas Territories
"1188459549","2201",theatre,Raphael Park Open Air Theatre
"1188518382","2302",fast_food,Cod & Brew
"1188645205","2303",cafe,The Plumstead Pantry
"1188659927","2303",cafe,215 Hackney
"1188665447","2204",park,
"1188665448","2205",playground,Locksley Estate Children's Play Area
"1188721807","2252",pitch,PLS 3G PITCH
"1188722210","2205",playground,
"1188729564","2204",park,
"1188730724","2252",pitch,
"1188767862","2253",swimming_pool,
"1188966821","2252",pitch,
"1188966822","2252",pitch,
"1189018495","2253",swimming_pool,
"1189380721","2251",sports_centre,VauxWall West Climbing Centre
"1189449630","2252",pitch,
"1189449631","2252",pitch,
"1189588922","2564",car_wash,
"1189629521","2204",park,
"1189689282","2725",artwork,Fire
"1189689283","2725",artwork,Earth
"1189689284","2725",artwork,Water
"1189689285","2725",artwork,Air
"1189732835","2950",tower,"33"
"1189732835","2725",artwork,"33"
"1189759380","2421",shelter,Herne Hill Station
"1189759381","2421",shelter,Herne Hill Station
"1189759394","2421",shelter,
"1189858234","2251",sports_centre,Parthian Climbing Wandsworth
"1189863614","2303",cafe,Caffè Nero
"1189863615","2525",mobile_phone_shop,EE
"1189863616","2601",bank,Nationwide
"1189863617","2520",jeweller,Pandora
"1189863620","2529",beauty_shop,Claire's
"1189863623","2522",sports_shop,Decathlon
"1189863624","2517",shoe_shop,Deichmann
"1189863626","2515",bookshop,Waterstones
"1189863627","2111",clinic,EverySkin
"1189863628","2501",supermarket,Waitrose
"1189863629","2512",clothes,Uniqlo
"1189863630","2527",newsagent,WHSmith
"1189918132","2121",dentist,Katz & Madhok
"1190054350","2512",clothes,Oliver Bonas
"1190054351","2517",shoe_shop,Office
"1190054355","2512",clothes,H&M
"1190054356","2512",clothes,Primark
"1190124294","2204",park,
"1190124298","2205",playground,
"1190124301","2204",park,
"1190124302","2205",playground,
"1190124310","2205",playground,
"1190124311","2205",playground,
"1190181527","2511",convenience,
"1190216693","2205",playground,
"1190283706","2253",swimming_pool,
"1190316824","2205",playground,
"1190369136","2253",swimming_pool,
"1190369137","2253",swimming_pool,
"1190375666","2252",pitch,
"1190670017","2205",playground,
"1190811312","2252",pitch,
"1190849114","2252",pitch,
"1190931331","2204",park,
"1190931337","2252",pitch,
"1190978753","2901",toilet,
"1191207631","2252",pitch,Bracer House MUGA
"1191422104","2082",school,Sacks Morasha Jewish Primary School
"1191432465","2252",pitch,Virgin Active & Canary Riverside
"1191480228","2205",playground,
"1191618802","2304",pub,The Joiners
"1191627307","2252",pitch,
"1191673185","2205",playground,
"1191675700","2205",playground,
"1191675701","2205",playground,
"1191675702","2252",pitch,
"1191767636","2566",bicycle_rental,Electric bike / scooter park
"1191945525","2724",memorial,Memorial to Heroic Self Sacrifice
"1191947941","2121",dentist,
"1191947942","2518",beverages,
"1191947943","2301",restaurant,
"1192032708","2206",dog_park,
"1192044751","2252",pitch,
"1192044753","2252",pitch,
"1192044754","2252",pitch,
"1192062589","2902",bench,
"1192062590","2902",bench,
"1192068517","2031",recycling_glass,
"1192124461","2421",shelter,
"1192164945","2033",recycling_clothes,
"1192216573","2252",pitch,
"1192349708","2421",shelter,
"1192525401","2541",car_dealership,Automatic Cars Ltd
"1192535951","2252",pitch,
"1192827775","2302",fast_food,Brunsy Oyster And Seafood Bar
"1192924474","2252",pitch,
"1193037395","2741",picnic_site,
"1193085137","2205",playground,
"1193143812","2253",swimming_pool,
"1193143813","2253",swimming_pool,
"1193155526","2401",hotel,The Boathouse
"1193165957","2252",pitch,Powerleague Nine Elms
"1193371303","2205",playground,
"1193409069","2083",kindergarten,Bright Horizons Beacon Road Day Nursery
"1193409070","2083",kindergarten,Bright Horizons Maythorne Cottages Day Nursery and Preschool
"1193500875","2421",shelter,
"1193500876","2421",shelter,
"1193525190","2205",playground,
"1193552759","2303",cafe,
"1193582902","2725",artwork,Wimbledon Logo
"1193615817","2082",school,The Ellen Wilkinson School for Girls
"1193651206","2252",pitch,
"1193651207","2252",pitch,
"1193654110","2205",playground,
"1193746471","2205",playground,
"1193749868","2252",pitch,
"1193751069","2251",sports_centre,New Addington Bowls Club
"1193855289","2252",pitch,
"16150024","2421",shelter,
"1193855291","2252",pitch,
"1193855292","2252",pitch,
"1193855293","2421",shelter,
"1193855295","2252",pitch,
"1193855296","2252",pitch,
"1193855297","2252",pitch,
"1193857409","2252",pitch,
"1194048789","2252",pitch,Court 9
"1194048790","2252",pitch,Court 8
"1194048791","2252",pitch,Show Court 1
"1194048792","2252",pitch,Court 2
"1194048793","2252",pitch,Court 4
"1194048794","2252",pitch,Court 6
"1194048795","2252",pitch,Court 7
"1194048796","2252",pitch,Court 5
"1194048797","2252",pitch,Court 3
"1194223001","2205",playground,
"1194227592","2252",pitch,
"1194233515","2304",pub,Penderel's Oak
"1194233796","2251",sports_centre,Padium
"1194236624","2205",playground,
"1194236625","2205",playground,
"1194243519","2205",playground,
"1194325079","2541",car_dealership,Saint Motors
"1194334017","2110",hospital,Hayes Priory
"1194691495","2083",kindergarten,Earlyrise Centre Nursery and Preschool
"1194726987","2205",playground,Brunel Road children's play area
"1194992902","2421",shelter,
"1194999887","2252",pitch,
"1195000727","2252",pitch,
"1195000728","2252",pitch,
"1195000729","2252",pitch,
"1195000730","2252",pitch,
"1195121023","2952",water_tower,Hither Green Water Tower
"1195188290","2253",swimming_pool,
"1195192886","2252",pitch,
"1195192887","2252",pitch,
"1195192888","2252",pitch,
"1195192889","2252",pitch,
"1195192891","2252",pitch,
"1195192892","2252",pitch,
"1195192893","2252",pitch,
"1195192894","2252",pitch,
"1195192895","2252",pitch,
"1195192896","2252",pitch,
