ptal_imd_interact,ptal_score,log_pop_density
433.46118399999995,69.823,9.33825853989075
430.89082599999995,83.782,8.709992992497819
809.878284,41.742,10.21780181878858
2460.891628,85.889,8.666078605456354
445.459672,22.456,9.44036419981107
1051.543952,33.302,9.584727524513486
277.872036,7.391,9.134829878287242
1260.027216,38.364,9.554341339303793
1047.260982,32.286,9.510867097538023
979.181643,31.917,9.82825741252597
563.442934,16.231,9.723361583674011
512.615565,13.145,9.105513047480015
266.0982,7.46,8.543426080585999
278.97744,8.295,9.061631525147158
168.00432399999997,5.116,9.139048431081942
319.94981199999995,8.203,9.293964351541101
246.469468,7.378,9.231495026048579
154.21493999999998,4.587,9.110055840573832
243.34435499999998,6.753,9.367779923246056
189.19012,4.865,9.2057297594185
220.20878699999997,6.399,9.351240796469348
258.692155,7.015,9.313339100809902
218.16480399999998,7.436,9.354302178215503
211.073202,5.751,9.43486696644514
144.08472600000002,3.858,7.253470382684528
120.83517000000002,3.015,9.444352644175492
56.640051,2.517,8.865255149856731
185.198715,4.821,9.099408811268901
92.433744,4.077,7.649502129378145
200.299188,6.686,8.618846845142738
148.68387,3.915,9.270531958870057
126.02734500000001,3.511,8.028650775890704
177.41415,6.778,8.451566077977011
141.55742,7.346,8.163912480545521
41.786124,2.323,8.891759132728833
164.260206,8.361,8.929157136264232
44.509136000000005,1.997,7.042985228242241
311.74886399999997,9.008,9.30643206450169
189.782733,5.721,9.398627433047357
352.830051,8.487,9.004680585001791
204.04909999999998,7.268,8.66051401086046
247.32496799999998,8.712,9.362400296267925
252.92085600000001,7.087,8.661657105653951
181.316196,6.092,9.43984763187686
363.75644800000003,8.137,9.36586439405141
318.50659199999996,7.736,9.137178106347198
813.5996460000001,23.446,9.499728488307154
496.450099,13.439,9.718518494200762
263.343008,7.912,9.380825486994182
233.97709199999997,5.843,9.098246124437267
188.081432,6.314,9.2992391334014
240.57182799999998,7.786,9.365556198618824
58.450084,1.628,8.851935360905419
328.245147,9.981,9.25867328876682
230.567617,7.259,9.368958202070901
175.718985,5.435,9.01218207335588
170.936112,4.728,8.285362011704462
340.828012,7.364,8.056490177053456
119.69047200000001,4.488,9.21269759154986
247.87978800000002,7.428,9.191504077629888
145.189545,4.115,9.305395973923769
232.55870000000002,5.83,9.046125888191261
89.75829200000001,3.484,9.230652673288061
121.87410299999999,5.811,9.360637923744937
434.047659,16.953,8.572646819601204
145.90125,8.91,9.254826047015461
191.193344,9.088,8.573951525234847
160.30224,8.505,9.172794255902213
142.366536,3.471,8.326541031301957
142.664517,3.681,8.778680148084833
183.069856,5.224,9.27925990744078
335.58093,9.07,8.299310776023498
214.68505800000003,5.923,9.335465278905083
307.20658399999996,7.487,9.199451300644014
242.042997,6.909,9.287579152316985
202.81674999999998,5.875,8.620399388194647
195.39328,5.888,8.946856480960744
151.754464,4.958,9.27200915434955
137.884985,4.943,9.384730558443858
253.90852200000003,7.386,9.275003885301905
554.0655399999999,13.916,9.168236305953371
476.61793200000005,13.558,9.335147569236094
432.1167,11.325,9.244123249943751
243.969057,7.101,8.38749444481189
117.99240999999999,4.09,9.073890438838285
91.162296,3.147,9.4364475274741
90.246279,3.187,6.774338165541786
198.175734,4.698,9.047127083820161
84.48753599999999,2.502,9.258987668797705
223.81793999999996,4.77,8.725539806034343
87.054198,3.089,8.3145627992244
125.27453599999998,3.884,6.890812558251825
144.05952000000002,3.52,7.920555471236099
553.8291389999999,14.571,9.28617114497023
435.66168,11.056,9.309153500195613
280.690206,9.591,9.101105694769755
156.44445,4.915,9.125109227613523
352.06856300000004,8.701,9.24639260926868
246.535073,5.783,8.861917004235215
100.26091199999999,3.048,7.835658326184458
285.9746559999999,8.248,9.07080240451677
393.676633,8.917,9.264620202222515
207.47414100000003,4.767,9.21635226428265
75.816432,2.676,8.111658080857959
270.11194,9.59,8.976009475021396
110.702519,4.309,9.180046099342581
92.341905,5.205,8.997666818445087
153.619445,5.315,8.891057547254514
240.353502,9.714,8.868371054050575
367.346184,14.538,9.468928284223587
139.14579999999998,5.975,9.153007825328938
55.422216,5.748,8.564553762776075
56.360127999999996,5.744,8.88016824790345
119.97674200000002,3.314,8.275121630216509
61.736224,5.588,8.114504226254825
304.53398999999996,12.91,8.895972034261897
330.648928,12.382,9.056291353647886
155.448375,4.623,9.552617158128589
403.945638,14.666,8.957085490805156
395.57115500000003,14.621,9.02440830512803
637.236,20.556,9.14178311987904
303.969687,9.849,9.334935706698777
182.220168,8.717,8.701861991278541
256.14249,10.033,9.26247731039601
355.193508,11.542,9.266058860732526
272.395098,11.042,9.345212115928398
183.036168,14.616,8.545119594057077
104.22272000000001,11.632,7.957142308840869
500.549454,17.382,8.523314418421174
448.65750800000006,24.466,9.033674789958386
175.95077999999998,12.03,8.961776443315062
556.770292,30.034,9.111845125227083
63.047765999999996,4.931,9.154542209045935
311.85217,11.27,9.154542209045935
79.4733,5.1,8.487475976628089
161.03357999999997,4.14,9.401266469966057
128.0511,3.95,9.586417863189755
228.819606,5.494,9.366651573337906
303.019092,9.276,9.562249979714448
249.97994,12.02,9.154542209045935
67.924635,8.165,9.32870990227762
60.123905,4.751,9.438789822080574
133.07730800000002,6.748,8.596965093194397
73.38409800000001,4.514,8.194643583635381
89.186318,7.358,8.773972659128201
136.87210299999998,9.431,9.034628920221834
189.01836,10.215,9.11013322155915
108.341636,3.796,9.086578247137805
185.093617,7.307,8.048852179256402
117.956426,8.897,9.188605879830176
77.94594500000001,5.245,8.385465884735307
50.8599,1.794,7.744613117208381
47.381175,6.793,8.48272596253399
88.91839800000001,6.723,8.830484529374438
29.321922,3.482,8.041992078623176
113.61173099999999,3.719,8.966407206454416
41.554626999999996,5.029,9.194332933830365
32.493869999999994,4.034,8.29562340109032
26.281568000000004,3.104,9.431610168908582
124.85278999999998,8.578,9.155662408685407
116.11121200000001,14.153,9.374896724517322
116.18505,14.505,8.907463440141859
31.064251,2.927,8.791972378512495
61.862897999999994,1.938,7.912532965312492
75.044544,2.906,9.386526478664054
41.305445,7.951,8.846324261780557
53.33547,4.098,8.993911725143604
7.875468000000001,0.981,6.20617261960109
47.065394,1.919,9.63179037157599
41.052704999999996,4.045,8.850116280113605
72.050862,10.543,8.714764543417068
40.579496999999996,1.503,8.76506837894963
188.338288,15.332,9.06441245901511
115.1472,9.2,8.807367156522997
38.25827099999999,3.231,8.803964849566656
32.527888,4.504,8.449813304084925
65.69928800000001,6.868,8.87011510152566
43.93016,6.115,8.272366245270868
50.290245,7.467,8.909735154233912
78.25144300000001,5.041,8.706324840138741
115.14084600000001,11.442,8.589588268831587
25.539518,2.801,7.036236440630677
25.661745,3.897,8.424068621425763
67.95813600000001,10.278,8.295149035545329
32.140437,3.921,8.045620331571948
25.645706,3.382,8.065045197267658
174.79092599999998,16.642,8.499436469826978
172.397585,12.709,9.191055610564316
214.94193,14.021,9.40562751116016
371.66835,18.705,9.348919005822218
233.55495900000003,13.651,9.418183466000215
611.9907,13.35,8.116536504300377
302.683024,8.452,8.224940690449696
59.462115,5.415,8.703108283720322
10.168488,0.814,6.211804171089457
54.10893600000001,2.504,8.694418450785443
40.41575,5.125,8.883751137208918
52.725348000000004,2.991,8.496357630828099
105.38603400000001,7.251,8.743707056835907
62.07723599999999,7.012,8.89870707870189
102.79321800000001,11.874,8.771354674099893
284.36646,12.18,8.5771399364673
69.267744,6.552,9.04902072305389
137.12347,14.366,8.775317711625693
63.249375,4.375,9.203305686495057
125.20224,5.805,8.479034314315467
46.626021,2.379,8.273311074952627
23.703083999999997,2.214,8.568741453296814
92.571282,4.833,8.664094802978932
105.500198,7.486,9.374710087712002
128.462641,8.209,8.899266840067032
251.144024,10.414,9.337800873978873
