ptal_score,imd_score,log_pop_density
7.251,14.534,8.743707056835907
7.012,8.853,8.89870707870189
11.874,8.657,8.771354674099893
12.18,23.347,8.5771399364673
6.552,10.572,9.04902072305389
14.366,9.545,8.775317711625693
4.375,14.457,9.203305686495057
5.805,21.568,8.479034314315467
2.379,19.599,8.273311074952627
2.214,10.706,8.568741453296814
4.833,19.154,8.664094802978932
7.486,14.093,9.374710087712002
8.209,15.649,8.899266840067032
10.414,24.116,9.337800873978873
2.349,10.621,7.2535411515887
4.866,10.138,8.761189798525544
10.532,7.296,8.746684552686583
2.116,5.863,7.593525315203033
8.553,13.03,8.408917319121883
11.95,18.853,9.224686965683105
8.409,13.376,8.895903562215581
1.167,9.449,6.393925146195848
0.537,7.764,6.955497274967558
3.63,10.628,8.140956733968203
6.779,9.156,7.771320111833212
1.747,13.364,7.630121398211302
2.565,19.85,7.88397391943618
5.374,5.865,8.26343578148419
10.952,16.482,8.47944978650558
5.795,15.103,9.11807156251277
4.411,8.023,7.712756844316225
7.582,12.75,8.605991304575037
13.783,15.262,9.01458092987474
10.033,10.434,8.537799417309184
10.493,11.98,8.721276239991704
6.762,15.582,8.888273872662571
2.912,4.061,8.00643423209479
5.125,5.525,8.587166915043747
1.49,8.956,5.604698516432302
4.762,3.958,7.1829598299228055
3.186,15.134,8.920976886741864
4.575,23.897,8.76079797662709
4.132,22.723,8.693563742716753
8.341,13.041,8.431308452259067
6.944,38.33,8.63593576656732
1.48,19.937,6.67544483984311
3.043,32.936,8.741136422901011
8.11,11.315,8.588098898931968
16.179,7.608,8.776105350371905
6.761,12.242,8.6071435786145
14.572,13.306,8.975870418456754
16.798,12.11,8.984743814500906
5.743,9.009,8.72072161785459
12.427,11.827,8.769242904864294
11.159,7.059,8.56358047096936
7.755,6.805,8.844855304044168
8.914,13.531,9.078852604013269
4.536,27.857,7.763573877412915
10.646,14.045,9.506414631311983
13.583,23.325,8.10119278139269
3.593,31.832,8.291646755485717
13.425,13.899,8.863063980097465
16.942,19.223,8.881266698364637
11.253,11.072,8.532180321224486
7.464,24.927,9.397732385583243
12.428,19.932,9.072594396174201
17.889,10.677,9.063451593931138
4.28,32.727,8.120291313968561
5.176,19.874,8.635598255794859
5.795,9.915,9.084618406243141
4.418,8.719,9.02290174528275
5.712,14.866,9.114600099695346
6.648,13.755,8.816927344892159
8.327,5.875,8.345217926676428
3.414,11.973,8.527955074060268
3.743,12.987,8.751759256716781
4.675,16.3,8.755816313578833
3.276,8.884,8.755690271764294
2.815,8.918,8.848839516320755
4.573,8.347,8.513426104846994
4.493,6.105,8.857458226276147
4.672,6.252,8.773725096075722
3.235,4.979,8.549582934217888
4.258,7.459,8.55072467462503
3.141,7.587,8.548246022671487
3.897,5.202,8.486135866950894
6.972,21.316,8.890809811284736
7.684,8.189,8.139469701489732
8.542,6.15,8.636024566261908
16.179,18.65,8.37675802247492
5.087,11.27,8.626513855325701
15.062,12.63,8.461088340031464
5.381,9.306,8.222902664483488
10.991,14.39,8.530780464924753
15.436,9.865,8.847359875474174
3.21,30.905,9.066446906601573
2.418,33.932,8.863021522961475
4.215,14.638,8.778171881033469
10.758,11.364,8.473136805219317
4.977,8.174,8.853493984770465
3.504,29.915,8.904752272544263
3.114,29.344,9.608351098423514
2.264,42.38,7.660349918185503
6.521,18.295,8.508979551641735
2.193,16.232,7.984462732262196
1.626,12.286,8.13882755318979
4.313,21.241,8.228070081168052
7.054,18.601,8.572003294576158
5.189,23.317,8.95290295066021
1.431,27.812,6.6684823457380435
3.012,6.444,7.896775891020153
0.677,21.082,6.350536615646436
7.692,12.076,8.654308155372114
3.618,32.32,8.119368818404027
6.656,41.618,7.933330816406272
7.448,12.348,8.530642344740242
4.359,10.762,7.957072275925369
8.036,11.233,8.254866926226764
2.899,10.167,7.802372835174798
11.238,22.909,9.089324616707783
8.814,9.166,8.722237943095191
15.488,9.317,8.83494849687416
3.357,20.001,8.827233446478685
8.834,9.101,8.592708743892382
10.413,14.705,8.626764827845529
10.537,29.529,8.250750621956875
9.788,30.082,9.55775254863573
3.737,28.889,8.323923926553777
2.955,23.784,7.399581552738345
6.054,5.938,8.947923106104142
3.935,9.621,8.96377465071748
15.578,13.631,8.769071904902741
10.021,6.236,8.76511520529414
6.475,19.563,7.755338812846501
3.822,8.707,8.64299730537502
4.25,11.155,8.620760099521288
5.625,5.619,8.64389632444718
12.064,6.789,8.407311358881108
2.024,6.454,8.498418036089904
4.018,10.343,8.784514380776065
3.506,12.878,8.504796671079687
8.349,23.903,7.66439355732328
3.163,42.524,8.607563919462283
1.119,16.489,7.2123682120938994
3.884,36.113,9.010925554236033
6.73,24.386,8.733094581473388
9.433,35.521,8.746652754667595
3.182,38.229,6.937605300951022
6.342,31.181,9.048480049078872
5.014,5.016,8.75490215028975
2.769,13.671,8.548827508189499
3.66,14.031,9.12913031655064
4.731,23.787,8.638932833815115
2.875,7.749,8.653680211866392
3.738,29.024,8.942826872926032
4.717,13.895,8.605735063267536
9.311,18.208,8.488505609551984
5.53,5.791,7.9441374911141125
5.514,6.243,8.589346397115445
14.943,12.09,8.896588071791218
6.246,5.631,8.42457338929813
8.924,14.438,8.705248280057953
2.841,5.115,7.801514062349206
7.333,7.086,8.015096030214087
13.393,14.326,8.397801362345435
4.467,5.128,8.576235385383294
1.674,23.424,6.588926477533519
8.045,18.552,9.185155888437126
3.153,20.855,9.227983807148778
6.274,19.895,8.428777192042666
2.371,21.524,9.423304286148547
10.287,22.928,8.622543707024063
13.529,25.222,9.65297922783784
6.016,21.758,9.356101673458335
11.315,21.12,8.8253100442545
4.27,19.67,9.175976644548223
4.594,23.491,8.727583768137784
10.819,23.721,9.48499799330521
8.773,15.83,8.630718286005104
8.532,11.775,8.641285172646015
10.799,27.74,8.768403169797999
13.84,33.304,8.798031901386011
4.487,33.513,9.01269398756049
4.336,38.614,8.641797354640769
6.625,29.651,9.108584463021796
1.892,15.555,7.732807530422021
9.207,17.634,8.775765660721452
9.82,23.257,8.595911946127629
18.838,24.206,9.504136217174095
8.223,21.226,8.622687698096867
10.222,13.405,8.9931540411361
12.116,12.31,9.05157907959124
12.766,19.535,8.991537386760394
16.572,32.579,9.133070483151517
9.967,23.67,8.833593907449853
2.96,32.538,8.685179149442826
8.178,27.131,8.187021067343505
7.467,35.651,9.4451990326392
5.225,28.682,8.517393171418904
4.523,28.578,8.549428021549595
8.57,21.374,9.425395298386773
6.078,20.325,9.279558551412725
12.778,30.431,8.637462023807181
8.577,22.007,8.852936591071733
9.032,37.833,9.343252823095924
7.725,34.158,9.313627740148034
13.533,30.111,9.15915233520675
14.705,31.007,9.260244201504367
11.997,18.91,9.322793674247231
7.653,15.506,9.209840246934501
6.202,14.626,9.211080098311182
8.248,27.517,8.498377277158596
7.966,19.417,9.162567190504499
6.82,13.553,8.864464055279676
5.501,25.937,8.250489525349648
2.013,20.361,7.918483082339726
7.163,20.597,8.840840684300627
18.558,53.09,9.688795684911721
2.037,31.433,9.56332551697161
5.203,42.123,9.670350481936143
5.291,34.204,9.604737791886564
7.399,46.028,9.649472337554831
9.065,15.596,9.24454854330592
12.256,25.279,9.72437882906146
14.575,22.1,9.595214942468338
6.5,19.424,9.340368134049003
12.95,11.259,8.449642137153958
1.642,9.585,8.311447417278448
7.608,9.401,8.6233713726944
6.362,10.46,8.263203759930926
8.284,14.775,8.66816167055217
9.26,21.407,9.021489545819332
20.284,30.368,9.715687013493914
17.021,22.321,9.756390272231554
17.47,22.673,9.99186466315354
25.891,32.72,9.813010175903324
19.178,17.113,9.702826857023977
16.976,29.062,9.57129614009839
6.029,21.039,9.11513918623179
6.412,15.947,8.944615466876444
24.24,32.007,9.969317427017945
20.271,23.465,9.674099545124589
15.212,26.806,8.986308926600678
13.469,22.118,9.399877500473698
12.834,19.077,8.926318260355888
20.736,24.708,9.706030022657314
3.151,10.862,8.48154528816971
4.23,9.588,8.351020536361654
8.365,17.31,8.98879554202567
5.344,23.892,9.020679951478522
3.736,14.793,8.912527152324943
4.896,18.175,8.823765710548049
14.977,14.257,7.921281608580571
6.577,9.462,8.259742833908032
8.264,24.088,9.357915192440302
9.185,22.247,8.518811880631693
4.893,12.26,8.845748457077597
9.529,13.432,8.866511138901402
7.546,10.723,8.924004060248757
9.644,17.369,8.985282489498742
9.455,16.509,8.764256373720674
7.483,32.606,8.918636891156401
15.688,28.89,8.86015858749125
20.798,28.906,9.551807257403718
13.52,20.094,8.451993118167982
14.86,15.538,9.118334726180159
17.865,14.317,9.166064503026067
21.47,21.296,9.258911464532133
18.746,14.526,9.426378741160345
21.0,14.234,9.614544685616924
25.476,21.525,9.676047283537143
6.578,15.01,9.013376132445275
8.431,26.149,9.117314580967816
7.317,19.307,9.078692917910184
4.514,18.959,8.889404813670764
10.214,20.6,8.820256365906321
13.323,20.65,9.132216655194604
5.727,19.632,9.370092477343785
10.194,17.074,8.919493296181246
6.147,46.524,9.183749959702652
8.088,57.244,7.595789410155259
8.189,39.756,9.290647660029858
7.446,39.051,9.37383582452009
8.919,43.13,9.237887443305482
10.73,45.54,9.236894665197429
7.535,19.696,8.980927207648378
7.601,18.814,9.48849469927288
8.986,22.141,8.323462800670377
7.654,20.99,9.023613124363239
11.57,24.925,8.942421710365352
15.789,24.049,9.659062906531243
15.824,22.985,8.839580992107033
6.734,25.258,8.995450167898124
8.523,19.767,8.476267024803592
16.006,21.621,9.337351805787806
9.453,24.108,9.032265784029551
5.305,21.83,9.125871215349733
1.016,19.435,8.981203898925564
8.143,20.903,8.290869589095397
10.198,25.172,9.045866591825849
2.96,30.14,8.059402677529388
4.838,16.12,9.194109358865765
1.835,18.739,8.797608927875974
8.247,22.448,8.740192732361452
7.32,43.498,8.917310693197807
10.882,39.15,9.135681478862605
8.787,33.655,8.520507692384067
4.471,15.786,9.287153253989143
12.68,28.674,9.162493762518963
9.706,16.862,9.012035764008893
12.208,18.641,9.072100770252261
21.494,24.495,9.672488225256334
14.01,21.854,9.658775565803827
22.644,29.677,9.105601885040594
16.704,18.16,9.40896169618359
10.656,28.948,8.89402560164913
21.874,26.984,9.7961973985454
17.792,30.752,9.803628542472909
7.877,51.118,8.27504519417433
4.297,4.426,7.527793987721444
4.818,8.685,8.55643313515384
2.933,6.901,8.82136358137282
7.974,6.434,8.513687052086949
8.306,9.063,7.792472781017186
4.783,11.657,7.619969522259308
8.297,9.788,8.663127350757803
3.18,6.271,7.9942275077560785
3.903,9.788,8.037026088604039
0.712,7.92,7.112001393191883
1.713,10.106,8.157714320144771
0.836,6.82,6.095599311839989
4.802,12.177,8.539893576937013
2.006,6.924,6.421622267806518
1.671,7.687,7.96419048875106
6.126,37.586,8.007766588563953
2.572,18.168,8.144534035033251
4.268,17.592,8.568950378189076
1.705,19.015,7.6497878572718925
5.664,11.279,7.710115544515399
2.326,5.577,6.45378246680893
5.345,6.865,7.359149318978702
6.628,11.493,8.060729482336257
7.897,8.753,9.212747472583606
20.914,5.899,8.29687065728873
10.899,10.594,8.798439599332783
3.978,7.586,8.540968310067006
8.331,8.286,8.160061000098711
24.4,10.154,8.630325428857194
21.156,13.342,8.514248861126788
10.402,8.932,8.729752931270802
4.636,8.841,8.711015032380399
7.122,2.655,8.628448299776332
4.289,4.327,8.660115352427454
3.214,12.312,8.787006565325536
3.314,3.543,8.557125190007582
2.735,11.702,6.341945346883387
4.158,7.762,7.731974580635803
2.094,7.554,7.604296692610098
3.855,7.31,6.678593655342365
6.07,3.492,8.143720814344247
3.039,14.009,6.964324630470031
12.92,13.73,8.933374013964466
19.592,10.113,9.245929498895414
15.819,10.469,8.87997345987395
13.924,16.599,8.426086165969776
8.494,3.318,9.19075991999724
11.335,7.865,8.858496596270943
16.347,16.171,8.636202141998426
7.754,10.333,8.377241230988792
10.734,11.785,8.806094520272747
9.982,7.002,8.513767329848045
6.1,8.117,8.401625200735404
19.041,9.987,8.784942928160067
9.401,6.57,8.672982527912005
5.938,7.53,8.320423764987128
10.124,8.436,8.601185014136982
5.762,27.328,8.714469039992002
6.425,25.428,8.710124927322207
0.286,43.281,5.485211785187126
2.033,43.217,8.70317470904168
10.93,23.575,8.071749483030885
3.181,13.714,7.9815624487312755
2.025,36.128,8.311275420767096
8.854,27.914,8.547508988618183
3.6,16.178,8.438907273017694
9.469,14.486,8.38851855705306
1.093,21.443,6.385363018844681
4.388,40.937,8.926238549440765
11.531,41.8,8.486362781023635
4.16,29.743,8.684451870533147
3.899,14.361,8.361007108226909
7.04,19.956,8.405098943877322
2.624,11.971,8.363482414817364
4.898,30.057,8.010193572483775
3.926,21.883,8.324069501088196
3.58,32.209,8.246460005009096
4.341,20.161,8.094622615405134
6.432,42.448,8.91877075279721
15.369,25.699,9.119036157567283
19.827,24.882,9.500484411298883
15.884,23.251,8.98008408502477
13.126,34.812,8.695305903436138
8.683,41.713,8.891855390369356
12.842,19.473,8.299310776023498
21.82,17.48,9.321801242574265
0.957,20.247,5.323497665078335
0.406,12.664,5.146331009550155
0.476,11.329,5.192401140956488
1.212,30.702,8.451950422354301
2.068,6.681,7.117367696011995
2.249,8.395,7.14172006892793
2.426,6.135,7.706657897207946
11.569,7.427,8.426743181827494
9.757,5.078,8.472384092281025
4.77,4.925,7.4304699471405415
3.736,4.451,7.971016690347321
14.871,3.339,8.472593236047212
1.101,7.816,5.882765130184641
4.875,9.071,8.079029256344834
2.327,7.262,7.893758623267592
4.372,6.964,8.605533684739298
3.757,5.404,7.46479632654509
3.747,12.203,8.186046747550373
2.415,7.214,6.658652688497831
7.154,3.044,8.500189443600052
9.537,4.764,8.548207244945408
7.315,8.72,8.042410158997177
3.36,23.938,7.05375857310198
6.305,6.02,7.705532708620165
9.248,5.485,8.418079788518877
4.679,4.052,8.495479138509484
3.768,6.474,8.539698046756307
7.384,9.362,8.287150898410871
4.91,7.336,7.630169957222651
6.531,7.717,8.787403517955978
3.675,13.162,8.97194357919916
2.563,9.502,7.3400570410438615
3.993,22.391,8.376665956279261
11.089,23.025,8.384963807952657
5.124,36.636,9.478189566674244
21.719,13.639,8.392559241748096
5.406,9.652,8.234246555731273
4.392,18.856,8.472049371246959
5.329,4.826,8.115670302540696
5.193,3.686,8.110727582974489
2.991,14.293,8.486115235845377
13.592,30.14,9.648272670221848
13.14,13.477,7.834471476339875
14.356,42.145,9.332150842175002
17.943,19.434,9.02934593417013
14.317,28.064,8.883820446404197
16.657,19.757,9.208819215604244
12.039,17.243,8.72677317198102
5.262,8.331,7.704000417545649
13.684,21.754,9.264336011737194
17.953,25.697,9.252719553451268
7.396,6.047,7.640459654540536
3.246,7.005,8.450818318549777
5.784,4.188,7.952192933203975
8.26,2.339,8.329127166714724
10.8,5.127,8.429235912657095
7.653,10.196,8.365905077202456
5.28,3.255,7.850376306102322
11.981,4.284,8.06705493259633
6.787,2.586,8.03825375651257
6.945,14.081,8.523970175695261
2.377,13.454,7.166960713441369
5.581,26.536,8.463729121546914
2.246,4.317,8.058865136608
4.841,5.195,8.467267382646511
8.371,10.099,8.513867667987661
19.168,6.085,8.979328446033108
3.176,3.748,7.915019528190942
5.77,8.153,8.3419346328226
5.328,5.996,7.504942068396171
2.814,2.759,8.30221620276842
3.688,4.859,8.778834117414448
7.636,7.308,8.57147302166257
4.104,5.562,8.782706339096956
5.188,10.214,8.093065006477559
4.177,5.005,7.8826922062890254
1.55,4.317,8.528232038531455
3.122,10.385,7.5342817722001865
4.055,4.549,8.511818775078783
13.17,13.567,9.572111309256284
11.618,11.305,9.450372504955212
10.205,22.13,9.773976638374412
17.38,17.13,9.69286528177559
62.662,14.252,8.89579399718863
55.058,14.959,9.312869884122444
83.154,14.633,9.125914739973796
67.73,15.832,9.125914739973796
63.19,14.66,8.315590951089755
42.426,31.404,9.503345750459308
12.112,14.85,9.748674153158772
25.994,37.66,9.090599170363634
11.72,7.224,9.622734750476164
7.154,17.703,8.602030540251617
41.585,33.498,9.391285982590206
21.938,10.864,9.201582130302283
43.659,34.37,9.121694933362033
7.85,17.932,9.891627499323466
17.205,13.236,9.891627499323466
35.505,28.4,9.97392737668199
5.926,39.291,9.944451936918465
14.116,22.144,9.740768603035686
9.917,14.237,8.596466372310745
19.51,24.312,9.379044632810952
10.242,8.615,9.47025548587524
23.679,4.907,9.759091639886254
19.139,21.838,9.503629197173225
15.075,29.94,9.709514378521698
18.041,11.158,9.487638719673225
14.216,5.647,9.096432318868063
18.589,5.877,8.90016726168887
20.608,6.105,8.844019050985645
26.911,13.429,9.146899914412748
21.995,4.319,9.385335153383677
31.393,9.536,9.28118086888492
5.723,5.273,8.699947987681751
5.683,7.027,8.344267356262645
12.561,9.126,9.464098478707987
18.925,13.063,9.539996574984528
14.302,14.584,9.659669243730734
12.658,30.868,9.621820685739134
11.393,40.883,9.75625124656951
11.068,38.283,9.8594102652952
16.983,15.799,9.588612410622325
4.607,5.314,7.867067185406487
9.437,6.601,8.65326136369273
13.906,8.367,9.669131374007815
15.348,5.734,9.160929515216953
15.777,5.398,8.972057801819169
19.36,11.81,9.138102956931467
4.941,5.971,7.273925004482659
16.844,26.042,9.741321501945738
19.986,30.351,9.832555301668126
14.972,36.241,9.729984993810366
13.412,18.925,9.535888875570585
28.539,24.584,9.782319418895003
20.707,38.075,9.988122775372823
18.221,10.421,9.259368603043537
13.757,33.796,9.534956892221027
6.314,27.211,9.071526480059136
8.166,11.771,8.821289805136113
6.583,22.316,7.479976991613202
3.643,9.279,6.9000254809201955
60.168,13.106,8.06076105148058
50.474,23.058,9.935412485320501
55.106,19.491,9.440467481384536
58.344,34.957,9.9993294091571
83.507,20.684,9.273193097959245
87.588,21.741,9.1511316223395
43.14,15.017,9.391636403098397
22.42,21.717,9.215138840887755
30.734,14.937,9.63295098558577
19.414,25.374,9.883376677736567
27.339,30.755,9.795022221924823
21.932,34.552,9.54669117265292
25.257,20.043,10.189692284257285
28.791,25.739,9.696334223469542
16.231,35.446,9.762603480809256
14.479,32.327,10.15555669594791
32.391,21.454,9.772860509630414
73.233,33.666,9.721227993820253
82.708,39.074,9.821957489297494
57.595,19.688,9.772860509630414
30.568,22.702,10.13112100912319
58.586,29.491,10.22517967077789
23.025,14.777,8.061549956363793
37.842,24.682,9.27617492789773
20.994,28.939,8.95922163883145
18.765,19.618,10.155199124167396
27.648,39.726,10.22517967077789
35.57,34.249,10.371316944840842
45.221,33.388,9.874974902886088
45.004,37.205,9.922642911575869
36.304,34.893,10.359344715704323
63.777,33.231,9.956117952599326
83.886,33.601,9.156760254273921
16.234,26.314,9.333628228267012
36.73,24.531,9.404919826165639
42.924,39.028,10.047678801468813
37.257,16.477,9.70809899310929
28.833,22.612,9.614197521344652
28.185,6.05,9.687040281012797
26.884,8.751,9.20680412682493
36.07,17.855,9.525837007922554
26.534,17.42,9.679825116624587
21.149,6.968,9.42892956794068
7.655,9.325,8.327726166461412
27.528,14.268,9.800773531819207
26.636,6.278,9.303120080108643
22.451,10.284,9.926525137787406
16.837,7.866,9.709702540693765
28.79,27.096,9.54566194684
28.306,20.581,9.295104225175331
23.269,25.094,9.536127150461509
47.54,17.721,9.42349015149368
17.681,25.791,9.480367509189243
16.394,28.332,9.325961071467884
17.807,20.55,9.306786270244435
35.479,17.568,9.505328192343349
5.004,26.51,9.242381527520978
11.312,13.993,9.222071294851881
5.57,18.644,9.417509000975723
12.166,13.494,9.362743811982853
9.666,30.644,9.310267151592994
6.612,8.729,8.247298645412574
12.044,13.043,8.60337088765729
12.256,9.378,9.043966964690508
2.735,12.449,8.80503025185676
8.968,40.278,9.053522805833449
1.706,8.842,8.26716650506824
15.192,12.212,9.21529806229541
15.261,32.577,9.283358464712755
16.508,28.215,9.174474823956158
14.574,37.455,9.35926886848045
10.512,24.98,9.22695163778138
6.566,26.942,9.546976880818262
16.545,23.204,9.847985413374523
7.397,30.661,8.720786883485731
8.633,18.879,9.498094941799966
8.701,30.401,9.113399863908668
11.657,23.746,9.79059877045751
8.464,41.778,7.755167418553512
21.929,30.871,9.846769041924565
35.506,37.546,9.595344235947703
39.624,46.101,9.309479575340708
24.76,30.289,9.20905955207646
6.222,24.292,8.223090551161533
3.897,14.363,7.425715391648727
1.375,8.041,7.112327444710911
10.468,23.385,8.420902531097951
8.517,8.874,8.47718336699654
6.143,6.227,8.685263682440333
5.273,12.713,8.823088393287376
2.244,10.503,7.607927724478835
2.778,3.765,7.786634859458118
9.358,14.464,8.62914593054331
8.504,14.826,8.592393423979173
5.15,11.983,7.557942765101947
20.97,20.404,9.19173842357652
11.182,18.538,9.14830538105665
3.772,8.629,8.131530710604252
12.39,15.153,9.089121440383899
9.037,21.138,9.06577692078483
36.464,36.634,9.250839114256062
60.907,28.921,9.458441866531132
6.961,39.057,8.744169388750624
5.231,42.12,9.111800983886504
8.992,32.404,8.843239841411004
11.446,34.919,8.909708140348773
7.525,38.85,8.589774284196993
8.143,37.89,9.364391046803108
10.408,40.503,9.471835027674317
4.774,9.874,7.103486522686009
6.275,6.864,8.480632936104435
3.894,12.837,6.141176820336309
2.158,6.996,7.789537378392629
3.555,17.303,7.776870542363862
3.236,12.944,7.837988362978997
0.191,8.211,6.529126824827532
7.297,16.333,8.454445066562286
8.737,18.325,8.479138198546972
7.86,36.214,8.488423277920123
11.198,18.542,8.898870943732092
10.745,36.004,8.261965401629176
5.735,33.984,8.58135038985955
8.826,49.591,8.821127478253686
4.152,34.64,8.081722381221667
6.287,33.023,7.940298987680542
