ptal_score,imd_score,log_pop_density,ptal_imd_interact,road_node_ratio,LSOA11CD,MSOA11CD,crime_count,hotspot_10
69.823,6.208,9.33825853989075,433.46118399999995,13.267993874425727,E01000001,E02000001,449.0,0.0
83.782,5.143,8.709992992497819,430.89082599999995,13.789845326160053,E01000002,E02000001,449.0,0.0
41.742,19.402,10.21780181878858,809.878284,19.56075568913697,E01000003,E02000001,449.0,0.0
85.889,28.652,8.666078605456354,2460.891628,13.975145319703348,E01000005,E02000001,449.0,0.0
22.456,19.837,9.44036419981107,445.459672,51.477857878475795,E01000006,E02000017,316.0,0.0
33.302,31.576,9.584727524513486,1051.543952,24.69950362733868,E01000007,E02000016,1509.0,1.0
7.391,37.596,9.134829878287242,277.872036,19.763738071734124,E01000008,E02000016,626.0,0.0
38.364,32.844,9.554341339303793,1260.027216,32.20634920634921,E01000009,E02000017,884.0,1.0
32.286,32.437,9.510867097538023,1047.260982,18.74846446329336,E01000010,E02000016,871.0,0.0
31.917,30.679,9.82825741252597,979.181643,52.331343283582086,E01000011,E02000017,321.0,0.0
16.231,34.714,9.723361583674011,563.442934,18.327223960661602,E01000012,E02000016,479.0,0.0
13.145,38.997,9.105513047480015,512.615565,56.44168734491315,E01000013,E02000014,800.0,1.0
7.46,35.67,8.543426080585999,266.0982,58.86836027713626,E01000014,E02000014,348.0,0.0
8.295,33.632,9.061631525147158,278.97744,39.8818407960199,E01000015,E02000010,423.0,0.0
5.116,32.839,9.139048431081942,168.00432399999997,51.57274119448698,E01000016,E02000010,283.0,0.0
8.203,39.004,9.293964351541101,319.94981199999995,69.24067164179104,E01000017,E02000010,272.0,0.0
7.378,33.406,9.231495026048579,246.469468,91.62729124236253,E01000018,E02000010,347.0,0.0
4.587,33.62,9.110055840573832,154.21493999999998,63.28588957055215,E01000019,E02006799,239.0,0.0
6.753,36.035,9.367779923246056,243.34435499999998,83.75474956822107,E01000020,E02006799,301.0,0.0
4.865,38.888,9.2057297594185,189.19012,73.48648648648648,E01000021,E02000009,446.0,0.0
6.399,34.413,9.351240796469348,220.20878699999997,57.620029455081,E01000022,E02000009,216.0,0.0
7.015,36.877,9.313339100809902,258.692155,39.58137829912023,E01000023,E02000009,323.0,0.0
7.436,29.339,9.354302178215503,218.16480399999998,124.16740088105728,E01000024,E02000009,237.0,0.0
5.751,36.702,9.43486696644514,211.073202,67.41050119331742,E01000025,E02000009,326.0,0.0
3.858,37.347,7.253470382684528,144.08472600000002,25.549728752260396,E01000027,E02000002,486.0,0.0
3.015,40.078,9.444352644175492,120.83517000000002,90.84604519774011,E01000028,E02000002,348.0,0.0
2.517,22.503,8.865255149856731,56.640051,64.7308584686775,E01000029,E02000002,310.0,0.0
4.821,38.415,9.099408811268901,185.198715,42.593572778827976,E01000030,E02000002,707.0,0.0
4.077,22.672,7.649502129378145,92.433744,52.50847457627118,E01000031,E02000003,414.0,0.0
6.686,29.958,8.618846845142738,200.299188,48.085667215815484,E01000032,E02000003,593.0,0.0
3.915,37.978,9.270531958870057,148.68387,69.45605306799337,E01000033,E02000007,281.0,0.0
3.511,35.895,8.028650775890704,126.02734500000001,38.05118110236221,E01000034,E02000004,285.0,0.0
6.778,26.175,8.451566077977011,177.41415,46.185639229422065,E01000035,E02000011,612.0,0.0
7.346,19.27,8.163912480545521,141.55742,50.161048689138575,E01000036,E02000011,363.0,0.0
2.323,17.988,8.891759132728833,41.786124,53.41466666666667,E01000037,E02000004,327.0,0.0
8.361,19.646,8.929157136264232,164.260206,94.75460122699387,E01000038,E02000004,170.0,0.0
1.997,22.288,7.042985228242241,44.509136000000005,29.845070422535212,E01000039,E02000004,247.0,0.0
9.008,34.608,9.30643206450169,311.74886399999997,28.970979443772674,E01000040,E02000020,393.0,0.0
5.721,33.173,9.398627433047357,189.782733,74.29038854805727,E01000041,E02000018,251.0,0.0
8.487,41.573,9.004680585001791,352.830051,38.51130561633844,E01000042,E02000018,401.0,0.0
7.268,28.075,8.66051401086046,204.04909999999998,40.51360946745562,E01000043,E02000020,285.0,0.0
8.712,28.389,9.362400296267925,247.32496799999998,36.01541425818883,E01000044,E02000017,352.0,0.0
7.087,35.688,8.661657105653951,252.92085600000001,28.124548736462096,E01000045,E02000018,818.0,1.0
6.092,29.763,9.43984763187686,181.316196,45.41903584672435,E01000046,E02000018,297.0,0.0
8.137,44.704,9.36586439405141,363.75644800000003,26.989235127478754,E01000048,E02000022,767.0,0.0
7.736,41.172,9.137178106347198,318.50659199999996,32.76180482686254,E01000049,E02000022,670.0,0.0
23.446,34.701,9.499728488307154,813.5996460000001,28.563963963963964,E01000050,E02000020,397.0,0.0
13.439,36.941,9.718518494200762,496.450099,42.65526315789474,E01000051,E02000022,207.0,0.0
