ptal_score,imd_score,log_pop_density,ptal_imd_interact,road_node_ratio
69.823,6.208,9.33825853989075,433.46118399999995,13.267993874425727
83.782,5.143,8.709992992497819,430.89082599999995,13.789845326160053
41.742,19.402,10.21780181878858,809.878284,19.56075568913697
85.889,28.652,8.666078605456354,2460.891628,13.975145319703348
22.456,19.837,9.44036419981107,445.459672,51.477857878475795
33.302,31.576,9.584727524513486,1051.543952,24.69950362733868
7.391,37.596,9.134829878287242,277.872036,19.763738071734124
38.364,32.844,9.554341339303793,1260.027216,32.20634920634921
32.286,32.437,9.510867097538023,1047.260982,18.74846446329336
31.917,30.679,9.82825741252597,979.181643,52.331343283582086
16.231,34.714,9.723361583674011,563.442934,18.327223960661602
13.145,38.997,9.105513047480015,512.615565,56.44168734491315
7.46,35.67,8.543426080585999,266.0982,58.86836027713626
8.295,33.632,9.061631525147158,278.97744,39.8818407960199
5.116,32.839,9.139048431081942,168.00432399999997,51.57274119448698
8.203,39.004,9.293964351541101,319.94981199999995,69.24067164179104
7.378,33.406,9.231495026048579,246.469468,91.62729124236253
4.587,33.62,9.110055840573832,154.21493999999998,63.28588957055215
6.753,36.035,9.367779923246056,243.34435499999998,83.75474956822107
4.865,38.888,9.2057297594185,189.19012,73.48648648648648
6.399,34.413,9.351240796469348,220.20878699999997,57.620029455081
7.015,36.877,9.313339100809902,258.692155,39.58137829912023
7.436,29.339,9.354302178215503,218.16480399999998,124.16740088105728
5.751,36.702,9.43486696644514,211.073202,67.41050119331742
3.858,37.347,7.253470382684528,144.08472600000002,25.549728752260396
3.015,40.078,9.444352644175492,120.83517000000002,90.84604519774011
2.517,22.503,8.865255149856731,56.640051,64.7308584686775
4.821,38.415,9.099408811268901,185.198715,42.593572778827976
4.077,22.672,7.649502129378145,92.433744,52.50847457627118
6.686,29.958,8.618846845142738,200.299188,48.085667215815484
3.915,37.978,9.270531958870057,148.68387,69.45605306799337
3.511,35.895,8.028650775890704,126.02734500000001,38.05118110236221
6.778,26.175,8.451566077977011,177.41415,46.185639229422065
7.346,19.27,8.163912480545521,141.55742,50.161048689138575
2.323,17.988,8.891759132728833,41.786124,53.41466666666667
8.361,19.646,8.929157136264232,164.260206,94.75460122699387
1.997,22.288,7.042985228242241,44.509136000000005,29.845070422535212
9.008,34.608,9.30643206450169,311.74886399999997,28.970979443772674
5.721,33.173,9.398627433047357,189.782733,74.29038854805727
8.487,41.573,9.004680585001791,352.830051,38.51130561633844
7.268,28.075,8.66051401086046,204.04909999999998,40.51360946745562
8.712,28.389,9.362400296267925,247.32496799999998,36.01541425818883
7.087,35.688,8.661657105653951,252.92085600000001,28.124548736462096
6.092,29.763,9.43984763187686,181.316196,45.41903584672435
8.137,44.704,9.36586439405141,363.75644800000003,26.989235127478754
7.736,41.172,9.137178106347198,318.50659199999996,32.76180482686254
23.446,34.701,9.499728488307154,813.5996460000001,28.563963963963964
13.439,36.941,9.718518494200762,496.450099,42.65526315789474
7.912,33.284,9.380825486994182,263.343008,24.62840553818669
5.843,40.044,9.098246124437267,233.97709199999997,29.122759158222916
6.314,29.788,9.2992391334014,188.081432,64.1863354037267
7.786,30.898,9.365556198618824,240.57182799999998,52.287253141831236
1.628,35.903,8.851935360905419,58.450084,41.69549104385423
9.981,32.887,9.25867328876682,328.245147,56.7018701870187
7.259,31.763,9.368958202070901,230.567617,55.76321353065539
5.435,32.331,9.01218207335588,175.718985,47.974326059050064
4.728,36.154,8.285362011704462,170.936112,28.724108658743635
7.364,46.283,8.056490177053456,340.828012,22.75661827497865
4.488,26.669,9.21269759154986,119.69047200000001,45.7542627883651
7.428,33.371,9.191504077629888,247.87978800000002,34.33470507544582
4.115,35.283,9.305395973923769,145.189545,42.35532516493874
5.83,39.89,9.046125888191261,232.55870000000002,55.372924648786714
3.484,25.763,9.230652673288061,89.75829200000001,45.087878787878786
5.811,20.973,9.360637923744937,121.87410299999999,59.59605263157895
16.953,25.603,8.572646819601204,434.047659,38.333333333333336
8.91,16.375,9.254826047015461,145.90125,66.46462715105163
9.088,21.038,8.573951525234847,191.193344,44.440835266821345
8.505,18.848,9.172794255902213,160.30224,30.03676470588235
3.471,41.016,8.326541031301957,142.366536,40.925925925925924
3.681,38.757,8.778680148084833,142.664517,49.99052132701422
5.224,35.044,9.27925990744078,183.069856,56.00777202072539
9.07,36.999,8.299310776023498,335.58093,45.00573065902579
5.923,36.246,9.335465278905083,214.68505800000003,79.41317365269461
7.487,41.032,9.199451300644014,307.20658399999996,41.03562340966921
6.909,35.033,9.287579152316985,242.042997,31.374812593703147
5.875,34.522,8.620399388194647,202.81674999999998,36.878684807256235
5.888,33.185,8.946856480960744,195.39328,74.52348993288591
4.958,30.608,9.27200915434955,151.754464,61.821362799263355
4.943,27.895,9.384730558443858,137.884985,39.61740166865316
7.386,34.377,9.275003885301905,253.90852200000003,53.08794788273616
13.916,39.815,9.168236305953371,554.0655399999999,56.66824085005903
13.558,35.154,9.335147569236094,476.61793200000005,49.76902887139108
11.325,38.156,9.244123249943751,432.1167,116.38352941176471
7.101,34.357,8.38749444481189,243.969057,37.574292452830186
4.09,28.849,9.073890438838285,117.99240999999999,44.24012806830309
3.147,28.968,9.4364475274741,91.162296,58.808196721311475
3.187,28.317,6.774338165541786,90.246279,25.97823834196891
4.698,42.183,9.047127083820161,198.175734,28.514767932489452
2.502,33.768,9.258987668797705,84.48753599999999,22.425217391304347
4.77,46.922,8.725539806034343,223.81793999999996,34.15549597855228
3.089,28.182,8.3145627992244,87.054198,24.776510067114096
